metric,value
composite_score,0.6661
extraction_f1,0.7797
extraction_precision,0.807
extraction_recall,0.7541
role_agreement,1.0
parent_attribution_accuracy,0.0
primary_cat_agreement,0.6154
financial_instrument_agreement,0.9038
secondary_category_agreement,0.0
plus_one_coverage,0.7541
matched,52
unmatched_ext,5
unmatched_gt,9
Mitigation_score,0.42
Mitigation_recall,0.7556
Mitigation_fpr,0.2593
Adaptation_score,0.5333
Adaptation_recall,0.7333
Adaptation_fpr,0.1
Resource_Efficiency_score,0.0
Resource_Efficiency_recall,1.0
Resource_Efficiency_fpr,0.1579
Nature_Based_Solutions_score,1.0
Nature_Based_Solutions_recall,1.0
Nature_Based_Solutions_fpr,0.0
