city,cluster_type,role,section_header,policy_statement,parent_statement,parent_row_type,verbatim_text,extraction_rationale,canonical_mechanism,mechanism_description,secondary_categories,is_financial_instrument,primary_category,climate_relevance
Utah_United_States,parent_with_subs,parent,Investments in Local and Sustainable Food,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",,standalone parent policy,"They work with the City to identify opportunities to increase access to fresh and nutritious food for all City residents:

Culinary Incubator Kitchen gives food businesses an advantage in the local marketplace by providing an affordable kitchen space for food prep as well as business marketing tools and resources.

Excess SLC Food Recovery is a partnership between community organizations that diverts consumable food waste from the landfill to food assistance programs.

Green City Growers was created to expand community garden access for residents by making Cityowned/managed land available for development.",A named investment/program area with multiple distinct initiatives listed beneath it; appropriate as a parent policy capturing the grouped interventions.,waste_diversion → landfill_methane_avoidance,Recovering and redirecting edible surplus food away from landfill disposal reduces organic waste decomposition in landfills and avoids methane emissions.,,yes,Mitigation,direct
Utah_United_States,parent_with_subs,sub,Dining with Discretion,Run Dining with Discretion to provide resources that empower residents to make low carbon food choices.,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",standalone parent policy,"Dining with Discretion

provides resources to empower residents to make low carbon food choices.",Specific named program with a defined intervention (providing resources) under the food investments grouping.,low_carbon_diet_education_program → food_consumption_emissions_reduction,"Provide education/resources that shift residents toward lower-carbon food choices, reducing lifecycle greenhouse gas emissions from food consumption.",,no,Mitigation,direct
Utah_United_States,parent_with_subs,sub,Excess SLC Food Recovery,Support Excess SLC Food Recovery to divert consumable food waste from landfill to food assistance programs.,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",standalone parent policy,"Excess SLC Food Recovery

is a partnership between community organizations that diverts consumable food waste from the landfill to food assistance programs.",Specific named partnership intervention to divert food waste; listed under the food investments program.,food_recovery_program → landfill_methane_avoidance,"Recovering edible surplus food for redistribution reduces organic waste sent to landfills, which in turn avoids landfill methane emissions.",,yes,Mitigation,direct
Utah_United_States,parent_with_subs,sub,Green City Growers,Implement Green City Growers to expand community garden access by making City-owned/managed land available for development.,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",standalone parent policy,"Green City Growers

was created to expand community garden access for residents by making Cityowned/managed land available for development.",Specific named program with a concrete mechanism (making city land available).,community_garden_expansion → urban_greening_and_local_food_resilience,"Making city land available for community gardens increases urban green space and local food production, improving heat/stormwater resilience and delivering small carbon/ecosystem co-benefits.",,no,Adaptation,indirect
Utah_United_States,parent_with_subs,sub,Salt Lake City FruitShare,Implement Salt Lake City FruitShare to divert surplus fruit from local trees to individuals with low access to healthy foods.,"Implement and support investments in local and sustainable food initiatives through the Salt Lake City Food Policy Task Force programs, including Culinary Incubator Kitchen, Dining with Discretion, Excess SLC Food Recovery, Green City Growers, and Salt Lake City FruitShare.",standalone parent policy,"Salt Lake City FruitShare

diverts surplus fruit from local trees to individuals with low access to healthy foods.",Specific named diversion program listed under the food investments program.,food_surplus_redistribution → landfill_methane_avoidance,"Redistributing surplus fruit prevents it from becoming landfill-bound organic waste, reducing methane emissions from anaerobic decomposition.",,yes,Mitigation,indirect
Utah_United_States,parent_with_subs,parent,ZERO WASTE COMMUNITY,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",,standalone parent policy,"Salt Lake City's Zero Waste Resolution values what we typically throw away as resources that can be returned to the local economy. Through a joint resolution signed in 2011, the City set a goal of Zero Waste by 2040 and a goal of diverting, recycling or composting 70% of the waste stream by 2025.","Named resolution with quantified targets and multiple subsequent strategies/ordinances, functioning as an umbrella policy.",waste_diversion → landfill_methane_avoidance,"Implementing a zero-waste program increases recycling/composting and other diversion, reducing landfill disposal and avoiding methane emissions.",,no,Mitigation,direct
Utah_United_States,parent_with_subs,sub,Waste Reduction,Establish fee structures for residential waste and recycling services that encourage waste reduction.,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",standalone parent policy,"## Waste Reduction

Establish fee structures for residential waste and recycling services that encourage the reduction of waste.",Concrete policy instrument (fee structures) listed as a key strategy under the Zero Waste pathway.,pay_as_you_throw_pricing → landfill_methane_avoidance,"Variable residential waste and recycling fees incentivize waste reduction (and diversion), decreasing landfill disposal and avoiding methane emissions.",Adaptation,yes,Mitigation,direct
Utah_United_States,parent_with_subs,sub,Increased Recycling,Expand composting capability in the city to enable food waste diversion.,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",standalone parent policy,"## Increased Recycling

Expand composting capability in the city to enable food waste diversion.",Specific infrastructure/service expansion action listed under Zero Waste strategies.,organic_waste_composting → landfill_methane_avoidance_and_nutrient_recovery,"Increase composting of food/organic waste so it is diverted from landfill, reducing methane emissions and enabling nutrient recovery.",Nature-Based Solutions,no,Mitigation,direct
Utah_United_States,parent_with_subs,sub,Highest and Best Use,Work with local and state partners to develop a long-term plan for regional materials management and explore recycling market development opportunities.,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",standalone parent policy,"## Highest and Best Use

Work with local and state partners to develop a long-term plan for regional materials management and explore recycling market development opportunities.",Specified planning and partnership action listed as a key Zero Waste strategy.,waste_diversion → landfill_methane_avoidance,"Developing regional materials management plans and recycling markets increases diversion of waste from landfills, reducing methane emissions from landfilled waste.",,no,Mitigation,indirect
Utah_United_States,parent_with_subs,sub,ZERO WASTE COMMUNITY,Require recycling of debris for major construction and renovation projects permitted by the City through the Construction and Demolition Ordinance.,"Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",standalone parent policy,The Construction and Demolition Ordinance requires recycling of debris for major construction and renovation projects permitted by the City.,Binding mechanism (ordinance requirement) described as part of the city's zero waste actions.,waste_diversion → landfill_methane_avoidance,"A construction and demolition debris recycling requirement diverts material from landfills, reducing methane emissions associated with landfilled waste.",,no,Mitigation,direct
Utah_United_States,parent_with_subs,sub,ZERO WASTE COMMUNITY,"Require multi-family properties, businesses, and special events to implement recycling programs beginning in 2017 through the Business Recycling Ordinance.","Adopt and implement Salt Lake City's Zero Waste Resolution, including goals of achieving zero waste by 2040 and diverting/recycling/composting 70% of the waste stream by 2025.",standalone parent policy,"The Business Recycling Ordinance requires multi-family properties, businesses and special events to implement recycling programs beginning in 2017.",Binding ordinance with a clear implementation start date (beginning in 2017).,waste_diversion → landfill_methane_avoidance,"A recycling ordinance increases diversion of waste from landfills, avoiding landfill methane emissions and reducing overall waste-sector GHGs.",,no,Mitigation,direct
Utah_United_States,parent_with_subs,parent,CITY OPERATIONS,"Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",,structural header,Salt Lake City leads by example by embedding Climate Positive solutions in its own internal government operations. The following are a few key examples:,Introduces a grouped set of specific internal operational commitments listed as examples; suitable umbrella/parent.,municipal_operations_decarbonization_program → operational_emissions_reduction,"Implementing internal government energy, building, renewable procurement, and fleet policies reduces municipal operational energy use and fossil-fuel consumption, lowering GHG emissions.",Resource Efficiency,no,Mitigation,direct
Utah_United_States,parent_with_subs,sub,Comprehensive Energy Management,"Implement a Comprehensive Energy Management Executive Order requiring measures such as energy benchmarking, efficiency investments, facility operator training, and employee engagement to reduce energy waste and spur clean energy development.","Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",structural header,"The City adopted an Executive Order to enhance interdepartmental coordination, encourage energy waste reduction and spur the development of clean energy. This comprehensive Order requires measures such as energy benchmarking, efficiency investments, facility operator training and employee engagement.",Binding mechanism (Executive Order) with specified required measures.,building_performance_ordinance → energy_use_reduction,"An executive-order energy management program (benchmarking plus operational improvements and efficiency actions) reduces energy waste in buildings, lowering overall energy use and associated emissions.",Resource Efficiency,no,Mitigation,direct
Utah_United_States,parent_with_subs,sub,Net Zero Construction,"Require new Salt Lake City government facilities above 10,000 square feet (with certain exceptions) to be constructed to Net Zero Energy standards and include onsite and/or offsite renewables to offset anticipated annual carbon emissions.","Embed Climate Positive solutions in city government operations through a set of internal operational policies including comprehensive energy management, net zero construction, renewable energy development, and a clean vehicle fleet.",structural header,"New Salt Lake City government facilities above 10,000 square feet, with the exception of certain use types, must be constructed to Net Zero Energy standards. These projects must include onsite and/or offsite renewable energy projects that offset the anticipated annual carbon emissions of the facility.","Mandatory requirement (“must”) with a clear applicability threshold (>10,000 sq ft) and specified compliance mechanism (renewables to offset emissions).",building_energy_code → energy_use_reduction,Mandating net-zero standards for new public facilities (including renewable energy to offset operations) reduces operational energy demand and associated greenhouse gas emissions from building energy use.,Resource Efficiency,no,Mitigation,direct
