location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
Austin_US,parent,,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,"Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.

Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.",NEW EMISSIONS GOAL FOR AUSTIN,"This is a clear citywide climate target with a deadline, so it qualifies as a policy commitment. It is an umbrella goal that organizes the plan's mitigation actions.",Mitigation,False,direct,
Austin_US,parent,,"Create green jobs and entrepreneurship opportunities that advance the goals of this plan, expand economic opportunity and inclusion, and build agency and decision-making power in low-income communities and communities of color.","Create green jobs and entrepreneurship opportunities that advance the goals of this plan, expand economic opportunity and inclusion, and build agency and decision-making power in low-income communities and communities of color.

## How we'll get there:",OVERARCHING STRATEGIES,"This is a strategic commitment to a specific implementation approach, with concrete sub-actions listed beneath it. It is policy-like because it directs workforce and economic development efforts tied to climate action.",Mitigation,False,indirect,
Austin_US,parent,,"Recognize and support existing community-led organizations, businesses, and programs that can help achieve the goals in this plan while building a green and just economy and culture.","Recognize and support existing community-led organizations, businesses, and programs that can help achieve the goals in this plan while building a green and just economy and culture. Lift up these initiatives as models and support new efforts that prioritize local investment, design out waste and pollution, promote the local exchange of ideas, goods, and services, and restore our people, land, water, and air to full health.",OVERARCHING STRATEGIES,This is an umbrella implementation strategy with concrete support actions beneath it. It qualifies as policy because it directs city support and prioritization.,Mitigation,False,indirect,
Austin_US,parent,,"Create a Texas Climate Collaborative linking elected officials, City staff, and utility staff working to implement recently adopted climate plans in San Antonio, Houston, Dallas, and Austin.","Create a Texas Climate Collaborative linking elected officials, City staff, and utility staff working to implement recently adopted climate plans in San Antonio, Houston, Dallas, and Austin. Work with cities across the state and neighboring cities, such as Round Rock, Cedar Park, Buda, Pflugerville, San Marcos, and Kyle, and the five-county governments: Travis, Williamson, Hays, Bastrop, and Caldwell.",OVERARCHING STRATEGIES,This is a formal coordination commitment with named participants and a defined purpose. It is an implementation policy rather than background discussion.,Mitigation,False,indirect,
Austin_US,parent,,"Establish clear support and prioritization for local greenhouse gas reduction and carbon removal projects, carbon dioxide removal, and carbon offsets when necessary.","Establish clear support and prioritization for local greenhouse gas reduction and carbon removal projects, carbon dioxide removal, and carbon offsets when necessary.

## NEW 2030 CLIMATE EQUITY GOALS FOR AUSTIN",OVERARCHING STRATEGIES,This is a policy direction on how the city will prioritize emissions reduction and offsetting approaches. It is broad but still a concrete commitment to support specific project types.,Mitigation,False,direct,
Chicago_US,parent,,"Increase access to utility savings and renewable energy, prioritizing households.","Pillars

1

2

3

4

5

Increase access to utility savings and renewable energy, prioritizing households

Build circular economies to create jobs and reduce waste

Deliver a robust zero-emission mobility network that connects communities and improves air quality

Drive equitable development of Chicago's clean-energy future

Strengthen communities and protect health",CLIMATE ACTION STRATEGIES,This is a named pillar-level climate commitment that organizes multiple sub-actions and sets a clear mitigation objective focused on buildings and renewable energy.,Mitigation,False,direct,
Chicago_US,sub,"Increase access to utility savings and renewable energy, prioritizing households","Retrofit residential buildings with 4 or fewer units: 20% by 2030 and 50% by 2040, prioritizing low- or moderate-income households.","A. Retrofit residential buildings with 4 or fewer units:20% by 2030 and 50%by2040, prioritizing low- or moder- ate-income households

B. Retrofit 20%of total 5+ unit residential buildings by 2030

C. Retrofit 20%of total industrial buildings by 2030",CLIMATE ACTION STRATEGIES,"This is a quantifiable retrofit commitment with a deadline and target share of buildings, clearly qualifying as a policy action.",Mitigation,False,direct,Resource Efficiency
Chicago_US,sub,"Increase access to utility savings and renewable energy, prioritizing households",Retrofit 20% of total 5+ unit residential buildings by 2030.,"B. Retrofit 20%of total 5+ unit residential buildings by 2030

C. Retrofit 20%of total industrial buildings by 2030

D. Retrofit90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035",CLIMATE ACTION STRATEGIES,"This is a specific, measurable retrofit target for multifamily buildings and therefore a clear policy commitment.",Mitigation,False,direct,Resource Efficiency
Chicago_US,sub,"Increase access to utility savings and renewable energy, prioritizing households",Retrofit 20% of total industrial buildings by 2030.,"C. Retrofit 20%of total industrial buildings by 2030

D. Retrofit90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035

E. Retrofit 20%of total commercial buildings by 2035",CLIMATE ACTION STRATEGIES,"This is a quantified retrofit target for industrial buildings with a deadline, making it a policy action.",Mitigation,False,direct,Resource Efficiency
Chicago_US,sub,"Increase access to utility savings and renewable energy, prioritizing households",Retrofit 90% of total City-owned and sister agency-owned buildings by 2035.,"D. Retrofit90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035

E. Retrofit 20%of total commercial buildings by 2035",CLIMATE ACTION STRATEGIES,This is a measurable building retrofit mandate for public buildings with a deadline.,Mitigation,False,direct,Resource Efficiency
Chicago_US,sub,"Increase access to utility savings and renewable energy, prioritizing households",Retrofit 20% of total commercial buildings by 2035.,"E. Retrofit 20%of total commercial buildings by 2035


## Strategy 2

## Connect communities to renewable energy",CLIMATE ACTION STRATEGIES,"This is a specific, time-bound retrofit target for commercial buildings and qualifies as a policy.",Mitigation,False,direct,Resource Efficiency
Chicago_US,sub,"Increase access to utility savings and renewable energy, prioritizing households",Install 5 megawatts of co-owned community solar projects by 2025.,"A. Install 5 megawatts of co-owned community solar proj- ects by 2025

B. Increase Chicago-based community renewables to 20 megawatts by 2025

C. Increase community renewables subscriptions to achieve 25%subscribed by low-income and/or environ- mental justice low-income residents by 2030",CLIMATE ACTION STRATEGIES,This is a quantified renewable energy deployment commitment with a deadline and therefore a policy.,Mitigation,False,direct,
