metric,value
composite_score,0.2991
extraction_f1,0.1143
extraction_precision,0.4444
extraction_recall,0.0656
role_agreement,0.875
parent_attribution_accuracy,0.6
primary_cat_agreement,0.25
financial_instrument_agreement,1.0
secondary_category_agreement,0.0
plus_one_coverage,0.0656
matched,8
unmatched_ext,1
unmatched_gt,53
Mitigation_score,-0.8
Mitigation_recall,0.0889
Mitigation_fpr,0.5
Adaptation_score,-1.0
Adaptation_recall,0.0
Adaptation_fpr,0.0
Resource_Efficiency_score,0.0
Resource_Efficiency_recall,1.0
Resource_Efficiency_fpr,0.5
Nature_Based_Solutions_score,-1.0
Nature_Based_Solutions_recall,0.0
Nature_Based_Solutions_fpr,1.0
