location,gt_index,ext_index,gt_policy,gt_category,gt_role,produced_policy,produced_category,produced_role,grade,similarity,statement_match,role_match,category_match,reasoning
Austin_US,93,0,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,Mitigation,individual,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,Mitigation,individual,1,1.0,True,True,True,"The extracted policy exactly matches the ground-truth policy in scope (community-wide greenhouse gas emissions), commitment (will achieve), and deadline/target year (by 2040). With no source excerpt provided, there is no evidence of contradiction."
Austin_US,0,6,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",Mitigation,parent,"By 2030, achieve net-zero carbon for all new buildings, reduce existing building emissions 25%, and lower natural-gas-related emissions 30%.",Mitigation,parent,1,0.9854,True,True,True,"The extracted policy matches the ground-truth policy in scope, target values, and deadline. It correctly captures all three commitments: net-zero carbon for all new buildings by 2030, a 25% emissions reduction for existing buildings, and a 30% reduction in natural-gas-related emissions. The wording is slightly compressed but preserves the same specificity and commitment strength."
Austin_US,1,7,"Pursue a comprehensive energy poverty mitigation strategy through partnerships and programs so building repair, conservation, and renewable energy benefits flow to low-income communities and communities of color.",Mitigation,sub,"Pursue an energy poverty mitigation strategy so building repair, conservation, and renewable energy benefits flow to low-income communities and communities of color.",Resource Efficiency,sub,1,0.9471,True,True,False,"The extracted policy matches the ground-truth closely in scope and core commitment: it pursues an energy poverty mitigation strategy aimed at ensuring building repair, conservation, and renewable energy benefits flow to low-income communities and communities of color. The only omission is 'comprehensive' and the delivery mechanism 'through partnerships and programs,' but the substantive policy intent and beneficiary groups are preserved. Given no source excerpt is available to assess stronger specificity, this is a strong match rather than merely directional."
Austin_US,2,8,"Enhance resident and building owner understanding of energy savings and climate impacts through outreach, culturally relevant communications, expanded benchmarking requirements, and better access to energy and water data.",Mitigation,sub,"Expand outreach, benchmarking, and utility data access to improve understanding of building energy savings opportunities and climate impacts.",Resource Efficiency,sub,1,0.8051,True,True,False,"The extracted policy matches the ground-truth well in scope and mechanism: it includes outreach, benchmarking, and utility/data access aimed at improving understanding of building energy savings opportunities and climate impacts. While it omits some specificity such as culturally relevant communications, resident/building owner framing, and water data, the core commitment and delivery mechanisms are accurately captured without contradiction. Given no source excerpt is provided, this is a strong substantive match."
Austin_US,3,9,"Achieve net-zero carbon buildings through new energy codes, amendments, incentives, education, and collaboration with utilities to decarbonize new and existing buildings.",Mitigation,sub,"Use building codes, incentives, education, electrification, efficiency, distributed generation, and utility collaboration to achieve net-zero carbon buildings.",Mitigation,sub,1,0.8644,True,True,True,"The extracted policy closely matches the ground-truth in scope and mechanisms. Both focus on achieving net-zero carbon buildings and cite building codes, incentives, education, and utility collaboration as delivery tools. The extracted version adds electrification, efficiency, and distributed generation, which are consistent with decarbonization and do not contradict the ground truth. It omits the explicit mention of amendments and new/existing buildings, but the core commitment and implementation approach are accurately preserved. With no source excerpt available to test against, this is a strong match."
Austin_US,4,10,Prioritize local emissions reduction investment and create equitable workforce development and training opportunities for emerging building technologies through partnerships serving low-income communities and communities of color.,Mitigation,sub,Invest in equitable workforce development and training for emerging building emissions-reduction technologies.,Mitigation,sub,0,0.84,False,True,True,"The extracted policy captures the general intent of investing in equitable workforce development and training for emerging building emissions-reduction technologies. However, it omits important specificity from the ground truth: prioritizing local emissions reduction investment, using partnerships, and explicitly serving low-income communities and communities of color. With no source excerpt provided, this is directionally correct but materially incomplete rather than a full match."
Austin_US,5,11,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",Mitigation,parent,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",Mitigation,parent,1,1.0,True,True,True,"The extracted policy exactly matches the ground-truth policy in scope, target, deadline, and subject matter: reducing community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030. It preserves the same specificity and commitment level, with no omissions or contradictions."
Austin_US,6,12,Develop a refrigerant destruction program that prices older high-ozone-depleting and high-global-warming-potential refrigerants to increase capture and safe destruction.,Mitigation,sub,Develop a refrigerant destruction program that prices older high-ODP and high-GWP refrigerants to increase capture and safe destruction.,Mitigation,sub,1,0.9652,True,True,True,"The extracted policy is effectively identical to the ground-truth. It preserves the same scope (refrigerant destruction program), mechanism (pricing older refrigerants), targeted substances (high-ozone-depleting/high-ODP and high-global-warming-potential/high-GWP refrigerants), and intended outcome (increase capture and safe destruction). The acronym substitutions do not change meaning. No source excerpt is provided to assess against original wording, but relative to the ground-truth this is a precise match."
Austin_US,7,13,Follow revised building code developments and move forward with local code amendments and actions to encourage low- and no-GWP refrigerants as soon as feasible.,Mitigation,sub,Amend building codes or take other local action to allow and encourage low- and no-GWP refrigerants.,Mitigation,sub,0,0.8743,False,True,True,"The extracted policy matches the general intent of the ground-truth: local code/action changes to encourage low- and no-GWP refrigerants. However, it omits two specificity/commitment elements present in the ground-truth: (1) 'follow revised building code developments' and (2) the timing qualifier 'as soon as feasible.' It also softens 'move forward with local code amendments and actions' into 'amend building codes or take other local action,' which is directionally correct but less precise on the implementation path."
Austin_US,8,14,"Partner with commercial refrigeration and HVAC stakeholders to create incentives for refrigerant leak detection, prevention, and repair.",Mitigation,sub,"Create incentives for refrigerant leak detection, prevention, and repair in food, restaurant, warehouse, and HVAC sectors.",Mitigation,sub,0,0.8426,False,True,True,"The extracted policy captures the core mechanism and action: creating incentives for refrigerant leak detection, prevention, and repair. However, it does not match the ground-truth scope precisely. The ground-truth specifies partnering with commercial refrigeration and HVAC stakeholders, which is an important delivery mechanism and stakeholder framing that is omitted. The extracted version instead substitutes sector examples ('food, restaurant, warehouse, and HVAC'), which is directionally related but less accurate and specific. With no source excerpt provided, this is best scored as a partial match rather than a full one."
