role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
individual,,"Set citywide greenhouse gas emissions reduction targets of 5% by FY2020, 30% by FY2030, and 80% by FY2050 compared to FY2013.","To establish the reduction target of greenhouse gas emissions, the city will set the long-term target based on the national government's target, keeping in mind the city Hiroshima aims to become. This will follow by the mid-term and short-term targets increasing the reduction effect estimated from concrete measures, etc.

| Timeframe            | Target Year   | Reduction Target (Total Target Amount)            |
| Long-term Target     | FY2050        | Compared to FY2013 ▲ 80%                          |
| Mid-term Target *1   | FY2030        | Compared to FY2013 ▲ 30%                          |
| Short-term Target *2 | FY2020        | Compared to FY2013 ▲ 5% (Compared to FY2005 ▲ 7%) |",## 2. Reduction target for greenhouse gas emissions,"Contains quantified, time-bound GHG reduction targets (core mitigation commitment).",Mitigation,False,direct,
individual,,"Set mid-term (FY2030) sector-specific greenhouse gas reduction targets by gas and sector (e.g., household and business CO2 -40%, transport CO2 -28%).","Apart from the total target amount, we set the targets by sector as follows:

- -Carbon Dioxide: Industry sector ▲ 7%, Consumer/household sector ▲ 40%, Consumer/business sector ▲ 40%, Transport sector ▲ 28%, Waste ▲ 6.7%
- -Methane ▲ 12.3%
- -Dinitrogen monoxide: ▲ 6.1%
- -4 gases such as chlorofluorocarbon alternatives: ▲ 25.1%",## *1 Setting of targets by sectors in the mid-term target,Quantified sectoral targets are explicit policy commitments supporting the overall mitigation target.,Mitigation,False,direct,
individual,,Set a short-term target to reduce total energy use by 5% (energy use not affected by the CO2 emission factor of electric utilities).,"*2 Setting of short-term energy reduction target

Total amount of energy use that is not affected by the carbon dioxide emission factor of electric utility

- -Total amount of energy use: ▲ 5%",## *2 Setting of short-term energy reduction target,Quantified energy-use reduction target; this is a concrete efficiency commitment.,Resource Efficiency,False,direct,
parent,,"Implement concrete mitigation measures across five scenarios (household, business activities, transport, waste, forest absorption/planting trees) and cross-sectional measures, managed using KPIs.","Considering the frameworks of measures, measures for each scene of daily life and social economic activities will be promoted as follows. The achievement status of the greenhouse effect gas reduction target by implementing these measures will be managed by setting the KPI (Key Performance Indicator)*.

*KPI (Key Performance Indicator) is an index to evaluate the progress status of each measure.",## 5. Concrete measures for achieving the reduction target,Commits to implementing a structured package of measures with KPI-based management; serves as an umbrella for multiple sub-actions.,Mitigation,False,direct,
individual,,Promote energy-saving actions and environment-related learning/education in households through global warming prevention campaigns.,"Take measures to promote energy saving actions and environment-related learning/education by global warming prevention campaign, etc.",## ◆ Household,Specific intervention (campaigns/education) aimed at reducing emissions via behavior change.,Resource Efficiency,False,direct,
individual,,Promote introduction of low-carbon houses/buildings (ZEH/ZEB) and energy-saving devices based on the Top Runner Program in the household sector.,"Take measures to promote the introduction of low-carbon houses with high energy-saving effect using innovative technology such as Net Zero Energy House (hereinafter called 'ZEH') and Net Zero Energy Building (hereinafter called 'ZEB'), and energy saving devices based on the state's Top Runner Program.",## ◆ Household,"Named interventions (ZEH/ZEB, Top Runner devices) to reduce energy demand/emissions.",Resource Efficiency,False,direct,
individual,,Promote resident-led development of low-carbon communities and shifts to environmentally-friendly lifestyles.,"Promote the shift to an environmentally-friendly lifestyle developing low-carbon communities, etc. with residents' initiative, under the concept of 'Develop our town by ourselves'.",## ◆ Household,"Specific community-based intervention to change lifestyles toward lower emissions, though somewhat broad.",Mitigation,False,direct,
individual,,Increase the share of newly-built ZEH to 50% by FY2020 and almost 100% by FY2030.,"| NameofIndex | Current Status | Short-term(FY2020) | Mid-term (FY2030) |
| ZEH | 4.3% (FY2015) | 50% | Almost100% |",## ◇ Key Performance Indicator (KPI),Quantified adoption targets for ZEH in new builds; functions as a policy target.,Resource Efficiency,False,direct,
individual,,Increase the share of low-carbon houses in newly-built housing to 50% by FY2020.,"| NameofIndex | Current Status | Short-term(FY2020) | Mid-term (FY2030) |
| Low-carbon house | 1.3% (FY2015) | 50% | - |",## ◇ Key Performance Indicator (KPI),Quantified target for low-carbon housing uptake.,Resource Efficiency,False,direct,
individual,,"Increase the number of introduced household fuel cells to 15,000 by FY2020 and 56,000 by FY2030.","| Number of introduced household fuel cells (Total) | 822 (FY2015) | 15,000 | 56,000 |",## ◇ Key Performance Indicator (KPI),Quantified technology deployment target; supports emissions reduction.,Mitigation,False,direct,
individual,,Increase the rate of citizens who have introduced LED lighting for more than 80% of household lighting to 50% by FY2020 and almost 100% by FY2030.,| Rate of citizens who have introduced LED lighting for more than 80%ofhousehold lighting | 12.5% (FY2016) | 50% | Almost100% |,## ◇ Key Performance Indicator (KPI),Quantified efficiency adoption target (LEDs).,Resource Efficiency,False,direct,
individual,,Promote energy management and energy-saving actions in business activities and ensure thorough management of devices using chlorofluorocarbons with high greenhouse effect.,"Take measures to promote energy management and energy saving actions, as well as thorough management of devices using chlorofluorocarbons that have an extremely high greenhouse effect.",## ◆ Business activities,Specific operational measures for businesses including high-GWP refrigerant management (direct climate mechanism).,Mitigation,False,direct,Resource Efficiency
individual,,Promote introduction of ZEB and energy-saving devices based on the Top Runner Program in business activities.,"Take measures to promote the introduction of low-carbon houses with high energy-saving effect using innovative technology such as ZEB, and energy saving devices based on the state's Top Runner Program.",## ◆ Business activities,"Named interventions (ZEB, Top Runner devices) for reducing energy use/emissions in offices.",Resource Efficiency,False,direct,
individual,,Promote environmentally-friendly business styles by reducing CO2 in products/services and improving electric utility CO2 emission factors through eco-friendly contracts and economic approaches (green purchase/green fund).,"Promote the shift to the environmentally-friendly business style by promoting the reduction of carbon dioxide in product/services, and by improving carbon dioxide emission factors of electric utilities through the promotion of eco-friendly contracts and economic approaches such as green purchase/green fund, etc.",## ◆ Business activities,Commits to procurement/contracting and economic approaches explicitly tied to CO2 reduction.,Mitigation,True,direct,
