role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale
individual,,"Set citywide greenhouse gas (GHG) emissions reduction targets of 80% by FY2050, 30% by FY2030, and 5% by FY2020 compared to FY2013 (with FY2020 also referenced as 7% compared to FY2005).","To establish the reduction target of greenhouse gas emissions, the city will set the long-term target based on the national government's target, keeping in mind the city Hiroshima aims to become. This will follow by the mid-term and short-term targets increasing the reduction effect estimated from concrete measures, etc.

| Timeframe            | Target Year   | Reduction Target (Total Target Amount)            |
|----------------------|---------------|---------------------------------------------------|
| Long-term Target     | FY2050        | Compared to FY2013 ▲ 80%                          |
| Mid-term Target *1   | FY2030        | Compared to FY2013 ▲ 30%                          |
| Short-term Target *2 | FY2020        | Compared to FY2013 ▲ 5% (Compared to FY2005 ▲ 7%) |",## 2. Reduction target for greenhouse gas emissions,"This is a quantified, time-bound emissions reduction commitment with explicit target years and percentages."
individual,,"Set mid-term (FY2030) sectoral and gas-specific reduction targets, including CO2 reductions by sector (industry 7%, household 40%, business 40%, transport 28%, waste 6.7%) and reductions for methane (12.3%), dinitrogen monoxide (6.1%), and fluorinated-gas alternatives (25.1%).","Apart from the total target amount, we set the targets by sector as follows:

- -Carbon Dioxide: Industry sector ▲ 7%, Consumer/household sector ▲ 40%, Consumer/business sector ▲ 40%, Transport sector ▲ 28%, Waste ▲ 6.7%
- -Methane ▲ 12.3%
- -Dinitrogen monoxide: ▲ 6.1%
- -4 gases such as chlorofluorocarbon alternatives: ▲ 25.1%",## *1 Setting of targets by sectors in the mid-term target,This is a quantified target-setting policy specifying reductions by sector and by gas type.
individual,,Set a short-term (FY2020) target to reduce total energy use by 5% (energy use not affected by the CO2 emission factor of electric utilities).,"*2 Setting of short-term energy reduction target

Total amount of energy use that is not affected by the carbon dioxide emission factor of electric utility

- -Total amount of energy use: ▲ 5%",## *2 Setting of short-term energy reduction target,This is a quantified energy-reduction target with a defined timeframe (short-term FY2020).
individual,,Promote energy-saving actions and environment-related learning/education for households through global warming prevention campaigns.,"Take  measures  to  promote  energy  saving  actions  and  environment-related  learning/education  by  global warming prevention campaign, etc.",## ◆ Household,"This is a specific intervention (campaigns and education) aimed at reducing energy use; while not quantified here, it is a concrete programmatic measure."
individual,,"Promote the introduction of low-carbon houses/buildings (ZEH/ZEB) and energy-saving devices for households, including devices under the state's Top Runner Program.","Take  measures  to  promote  the  introduction  of  low-carbon  houses  with  high  energy-saving  effect  using innovative technology such as Net Zero Energy House (hereinafter called 'ZEH') and Net Zero Energy Building (hereinafter called 'ZEB'), and energy saving devices based on the state's Top Runner Program.",## ◆ Household,This commits to specific technology deployment (ZEH/ZEB and Top Runner devices) to reduce energy demand and emissions.
individual,,"Achieve household KPI targets for ZEH/low-carbon housing, household fuel cells, and LED lighting adoption by FY2020 and FY2030.","| NameofIndex                                                                             | NameofIndex                                                                             | Current Status   | Short-term(FY2020)   | Mid-term (FY2030)   |
|-----------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------|------------------|----------------------|---------------------|
|                                                                                         | ZEH                                                                                     | 4.3% (FY2015)    | 50%                  | Almost100%          |
|                                                                                         | Low-carbon house                                                                        | 1.3% (FY2015)    | 50%                  | -                   |
| Number of introduced household fuel cells (Total)                                       | Number of introduced household fuel cells (Total)                                       | 822 (FY2015)     | 15,000               | 56,000              |
| Rate of citizens who have introduced LED lighting for more than 80%ofhousehold lighting | Rate of citizens who have introduced LED lighting for more than 80%ofhousehold lighting | 12.5% (FY2016)   | 50%                  | Almost100%          |",## ◇ Key Performance Indicator (KPI),"These are quantified adoption targets (percentages and counts) with explicit deadlines, functioning as policy commitments."
individual,,Promote resident-led development of low-carbon communities and shifts to environmentally-friendly lifestyles under the concept 'Develop our town by ourselves'.,"Promote  the  shift  to  an  environmentally-friendly  lifestyle  developing  low-carbon  communities,  etc.  with residents' initiative, under the concept of 'Develop our town by ourselves'.",## ◆ Household,"This is a named intervention (low-carbon communities) with an implementation approach (resident-led), though it lacks quantified targets."
individual,,Promote energy management and energy-saving actions in business activities and ensure thorough management of devices using chlorofluorocarbons with high greenhouse effect.,"Take measures to promote energy management and energy saving actions, as well as thorough management of devices using chlorofluorocarbons that have an extremely high greenhouse effect.",## ◆ Business activities,This is a concrete operational/regulatory-type measure targeting energy use and high-GWP refrigerants.
individual,,Promote introduction of ZEB and Top Runner energy-saving devices in business activities.,"Take  measures  to  promote  the  introduction  of  low-carbon  houses  with  high  energy-saving  effect  using innovative technology such as ZEB, and energy saving devices based on the state's Top Runner Program.",## ◆ Business activities,This is a specific technology deployment commitment (ZEB and Top Runner devices) for emissions reduction.
individual,,Promote environmentally-friendly business styles by reducing CO2 in products/services and improving electric-utility CO2 emission factors via eco-friendly contracts and economic approaches (green purchase/green fund).,"Promote the shift to the environmentally-friendly business style by promoting the reduction of carbon dioxide in  product/services,  and  by  improving  carbon  dioxide  emission  factors  of  electric  utilities  through  the promotion of eco-friendly contracts and economic approaches such as green purchase/green fund, etc.",## ◆ Business activities,This is a concrete policy direction using procurement/contracting and economic approaches to drive emissions reductions.
