location,metric,value
Austin_US,composite_score,0.2379
Austin_US,extraction_f1,0.0451
Austin_US,extraction_precision,0.0295
Austin_US,extraction_recall,0.0957
Austin_US,role_agreement,0.3226
Austin_US,parent_attribution_accuracy,0.069
Austin_US,primary_cat_agreement,0.6452
Austin_US,financial_instrument_agreement,0.6989
Austin_US,secondary_category_agreement,0.0
Austin_US,plus_one_coverage,0.0957
Austin_US,matched,93
Austin_US,unmatched_ext,212
Austin_US,unmatched_gt,1
Austin_US,Mitigation_score,-0.7522
Austin_US,Mitigation_recall,0.0968
Austin_US,Mitigation_fpr,0.9732
Austin_US,Adaptation_score,-0.6429
Austin_US,Adaptation_recall,0.0
Austin_US,Adaptation_fpr,1.0
Austin_US,Resource_Efficiency_score,-0.75
Austin_US,Resource_Efficiency_recall,0.0
Austin_US,Resource_Efficiency_fpr,1.0
Austin_US,Nature_Based_Solutions_score,-0.5238
Austin_US,Nature_Based_Solutions_recall,0.15
Austin_US,Nature_Based_Solutions_fpr,0.9211
Chicago_US,composite_score,0.2156
Chicago_US,extraction_f1,0.0211
Chicago_US,extraction_precision,0.0121
Chicago_US,extraction_recall,0.082
Chicago_US,role_agreement,0.1633
Chicago_US,parent_attribution_accuracy,0.0
Chicago_US,primary_cat_agreement,0.7143
Chicago_US,financial_instrument_agreement,0.8776
Chicago_US,secondary_category_agreement,0.0
Chicago_US,plus_one_coverage,0.082
Chicago_US,matched,49
Chicago_US,unmatched_ext,365
Chicago_US,unmatched_gt,12
Chicago_US,Mitigation_score,-0.9101
Chicago_US,Mitigation_recall,0.0889
Chicago_US,Mitigation_fpr,0.9865
Chicago_US,Adaptation_score,-0.8125
Chicago_US,Adaptation_recall,0.0
Chicago_US,Adaptation_fpr,1.0
Chicago_US,Resource_Efficiency_score,-1.0
Chicago_US,Resource_Efficiency_recall,1.0
Chicago_US,Resource_Efficiency_fpr,1.0
Chicago_US,Nature_Based_Solutions_score,-0.6667
Chicago_US,Nature_Based_Solutions_recall,1.0
Chicago_US,Nature_Based_Solutions_fpr,1.0
Dakar_SN,composite_score,0.59
Dakar_SN,extraction_f1,0.4615
Dakar_SN,extraction_precision,0.3333
Dakar_SN,extraction_recall,0.75
Dakar_SN,role_agreement,0.3571
Dakar_SN,parent_attribution_accuracy,1.0
Dakar_SN,primary_cat_agreement,0.6429
Dakar_SN,financial_instrument_agreement,1.0
Dakar_SN,secondary_category_agreement,0.0
Dakar_SN,plus_one_coverage,0.75
Dakar_SN,matched,14
Dakar_SN,unmatched_ext,22
Dakar_SN,unmatched_gt,2
Dakar_SN,Mitigation_score,-0.5
Dakar_SN,Mitigation_recall,0.6667
Dakar_SN,Mitigation_fpr,0.8125
Dakar_SN,Adaptation_score,0.2308
Dakar_SN,Adaptation_recall,0.8889
Dakar_SN,Adaptation_fpr,0.4545
Dakar_SN,Resource_Efficiency_score,-1.0
Dakar_SN,Resource_Efficiency_recall,0.0
Dakar_SN,Resource_Efficiency_fpr,0.8571
Dakar_SN,Nature_Based_Solutions_score,0.0
Dakar_SN,Nature_Based_Solutions_recall,1.0
Dakar_SN,Nature_Based_Solutions_fpr,0.0
Geneva_CH,composite_score,0.65
Geneva_CH,extraction_f1,0.125
Geneva_CH,extraction_precision,0.0667
Geneva_CH,extraction_recall,1.0
Geneva_CH,role_agreement,1.0
Geneva_CH,parent_attribution_accuracy,1.0
Geneva_CH,primary_cat_agreement,1.0
Geneva_CH,financial_instrument_agreement,1.0
Geneva_CH,secondary_category_agreement,0.0
Geneva_CH,plus_one_coverage,1.0
Geneva_CH,matched,1
Geneva_CH,unmatched_ext,14
Geneva_CH,unmatched_gt,0
Geneva_CH,Mitigation_score,-0.7143
Geneva_CH,Mitigation_recall,1.0
Geneva_CH,Mitigation_fpr,0.8571
Geneva_CH,Adaptation_score,-1.0
Geneva_CH,Adaptation_recall,1.0
Geneva_CH,Adaptation_fpr,1.0
Geneva_CH,Resource_Efficiency_score,-1.0
Geneva_CH,Resource_Efficiency_recall,1.0
Geneva_CH,Resource_Efficiency_fpr,1.0
Geneva_CH,Nature_Based_Solutions_score,-1.0
Geneva_CH,Nature_Based_Solutions_recall,1.0
Geneva_CH,Nature_Based_Solutions_fpr,1.0
Hiroshima_JP,composite_score,0.2788
Hiroshima_JP,extraction_f1,0.0
Hiroshima_JP,extraction_precision,0.0
Hiroshima_JP,extraction_recall,0.0
Hiroshima_JP,role_agreement,0.1538
Hiroshima_JP,parent_attribution_accuracy,1.0
Hiroshima_JP,primary_cat_agreement,0.5385
Hiroshima_JP,financial_instrument_agreement,1.0
Hiroshima_JP,secondary_category_agreement,0.0
Hiroshima_JP,plus_one_coverage,0.0
Hiroshima_JP,matched,13
Hiroshima_JP,unmatched_ext,19
Hiroshima_JP,unmatched_gt,1
Hiroshima_JP,Mitigation_score,-0.5417
Hiroshima_JP,Mitigation_recall,0.0
Hiroshima_JP,Mitigation_fpr,1.0
Hiroshima_JP,Adaptation_score,0.0
Hiroshima_JP,Adaptation_recall,1.0
Hiroshima_JP,Adaptation_fpr,0.0
Hiroshima_JP,Resource_Efficiency_score,-0.8571
Hiroshima_JP,Resource_Efficiency_recall,0.0
Hiroshima_JP,Resource_Efficiency_fpr,1.0
Hiroshima_JP,Nature_Based_Solutions_score,-1.0
Hiroshima_JP,Nature_Based_Solutions_recall,1.0
Hiroshima_JP,Nature_Based_Solutions_fpr,1.0
Kuwait_KW,composite_score,0.7859
Kuwait_KW,extraction_f1,0.7731
Kuwait_KW,extraction_precision,0.7667
Kuwait_KW,extraction_recall,0.7797
Kuwait_KW,role_agreement,0.9818
Kuwait_KW,parent_attribution_accuracy,0.5714
Kuwait_KW,primary_cat_agreement,0.8182
Kuwait_KW,financial_instrument_agreement,0.8727
Kuwait_KW,secondary_category_agreement,0.0
Kuwait_KW,plus_one_coverage,0.7797
Kuwait_KW,matched,55
Kuwait_KW,unmatched_ext,5
Kuwait_KW,unmatched_gt,4
Kuwait_KW,Mitigation_score,1.0
Kuwait_KW,Mitigation_recall,1.0
Kuwait_KW,Mitigation_fpr,0.0
