metric,value
composite_score,0.7457
extraction_f1,0.6839
extraction_precision,0.5638
extraction_recall,0.8689
role_agreement,0.9672
parent_attribution_accuracy,0.9348
primary_cat_agreement,0.5902
financial_instrument_agreement,0.9016
secondary_category_agreement,0.0
plus_one_coverage,0.8689
matched,61
unmatched_ext,33
unmatched_gt,0
Mitigation_score,0.4561
Mitigation_recall,0.8444
Mitigation_fpr,0.4118
Adaptation_score,0.2083
Adaptation_recall,0.9333
Adaptation_fpr,0.44
Resource_Efficiency_score,-1.0
Resource_Efficiency_recall,1.0
Resource_Efficiency_fpr,0.4375
Nature_Based_Solutions_score,-0.3333
Nature_Based_Solutions_recall,1.0
Nature_Based_Solutions_fpr,0.6667
