location,metric,value
Austin_US,composite_score,0.3341
Austin_US,extraction_f1,0.0202
Austin_US,extraction_precision,0.2
Austin_US,extraction_recall,0.0106
Austin_US,role_agreement,0.0
Austin_US,parent_attribution_accuracy,1.0
Austin_US,primary_cat_agreement,0.8
Austin_US,financial_instrument_agreement,0.4
Austin_US,secondary_category_agreement,0.0
Austin_US,plus_one_coverage,0.0106
Austin_US,matched,5
Austin_US,unmatched_ext,0
Austin_US,unmatched_gt,89
Austin_US,Mitigation_score,-0.9516
Austin_US,Mitigation_recall,0.0161
Austin_US,Mitigation_fpr,0.8
Austin_US,Adaptation_score,-1.0
Austin_US,Adaptation_recall,0.0
Austin_US,Adaptation_fpr,0.0
Austin_US,Resource_Efficiency_score,-0.8333
Austin_US,Resource_Efficiency_recall,0.0
Austin_US,Resource_Efficiency_fpr,0.0
Austin_US,Nature_Based_Solutions_score,-1.0
Austin_US,Nature_Based_Solutions_recall,0.0
Austin_US,Nature_Based_Solutions_fpr,0.0
Chicago_US,composite_score,0.404
Chicago_US,extraction_f1,0.3117
Chicago_US,extraction_precision,0.75
Chicago_US,extraction_recall,0.1967
Chicago_US,role_agreement,1.0
Chicago_US,parent_attribution_accuracy,0.0
Chicago_US,primary_cat_agreement,0.5385
Chicago_US,financial_instrument_agreement,1.0
Chicago_US,secondary_category_agreement,0.0
Chicago_US,plus_one_coverage,0.1967
Chicago_US,matched,13
Chicago_US,unmatched_ext,3
Chicago_US,unmatched_gt,48
Chicago_US,Mitigation_score,-0.4894
Chicago_US,Mitigation_recall,0.2667
Chicago_US,Mitigation_fpr,0.3333
Chicago_US,Adaptation_score,-1.0
Chicago_US,Adaptation_recall,0.0
Chicago_US,Adaptation_fpr,0.0
Chicago_US,Resource_Efficiency_score,-1.0
Chicago_US,Resource_Efficiency_recall,1.0
Chicago_US,Resource_Efficiency_fpr,0.1429
Chicago_US,Nature_Based_Solutions_score,-1.0
Chicago_US,Nature_Based_Solutions_recall,0.0
Chicago_US,Nature_Based_Solutions_fpr,0.0
Dakar_SN,composite_score,0.2292
Dakar_SN,extraction_f1,0.0
Dakar_SN,extraction_precision,0.0
Dakar_SN,extraction_recall,0.0
Dakar_SN,role_agreement,0.3333
Dakar_SN,parent_attribution_accuracy,0.0
Dakar_SN,primary_cat_agreement,0.75
Dakar_SN,financial_instrument_agreement,1.0
Dakar_SN,secondary_category_agreement,0.0
Dakar_SN,plus_one_coverage,0.0
Dakar_SN,matched,12
Dakar_SN,unmatched_ext,6
Dakar_SN,unmatched_gt,4
Dakar_SN,Mitigation_score,-1.0
Dakar_SN,Mitigation_recall,0.0
Dakar_SN,Mitigation_fpr,1.0
Dakar_SN,Adaptation_score,-0.8667
Dakar_SN,Adaptation_recall,0.0
Dakar_SN,Adaptation_fpr,1.0
Dakar_SN,Resource_Efficiency_score,-1.0
Dakar_SN,Resource_Efficiency_recall,0.0
Dakar_SN,Resource_Efficiency_fpr,0.0
Dakar_SN,Nature_Based_Solutions_score,0.0
Dakar_SN,Nature_Based_Solutions_recall,1.0
Dakar_SN,Nature_Based_Solutions_fpr,1.0
Geneva_CH,composite_score,0.5
Geneva_CH,extraction_f1,0.0
Geneva_CH,extraction_precision,0.0
Geneva_CH,extraction_recall,0.0
Geneva_CH,role_agreement,1.0
Geneva_CH,parent_attribution_accuracy,1.0
Geneva_CH,primary_cat_agreement,1.0
Geneva_CH,financial_instrument_agreement,1.0
Geneva_CH,secondary_category_agreement,0.0
Geneva_CH,plus_one_coverage,0.0
Geneva_CH,matched,1
Geneva_CH,unmatched_ext,19
Geneva_CH,unmatched_gt,0
Geneva_CH,Mitigation_score,-0.9091
Geneva_CH,Mitigation_recall,0.0
Geneva_CH,Mitigation_fpr,1.0
Geneva_CH,Adaptation_score,-1.0
