role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_actionable,validation_confidence,validation_reasoning
parent,,Reduce urban heat hazards through green infrastructure and urban forestry actions.,"Due to notable increases in the urban heat island effect, steps must be taken to reduce heat hazards with appropriate green infrastructure, including:

- LVMC and zoning amendments for trees
- At least 100,000 public and private high quality, native and adaptive trees that increase the canopy are planted to increase the canopy to 20%",## URBAN FORESTRY,This is a parent initiative because it introduces a policy area followed by bullet sub-actions. It qualifies as policy through a regulatory mechanism and quantified tree/canopy targets.,Nature-Based Solutions,True,0.92,"- The source lists concrete, measurable actions to reduce urban heat via green infrastructure:
  - ""At least 100,000 public and private high quality, native and adaptive trees ... to increase the canopy to 20%."" This provides quantifiable targets (tree count and canopy percentage), satisfying criterion 1.
  - ""LVMC and zoning amendments for trees"" indicates use of a regulatory/binding mechanism, satisfying criterion 2.
- The intervention (tree planting) is specific with clear deliverables (number of trees, canopy coverage outcome), satisfying criterion 3.
- Therefore, the otherwise broad policy statement is anchored by binding mechanisms and quantifiable outcomes."
sub,Reduce urban heat hazards through green infrastructure and urban forestry actions.,Amend the Las Vegas Municipal Code and zoning for trees.,"Due to notable increases in the urban heat island effect, steps must be taken to reduce heat hazards with appropriate green infrastructure, including:

- LVMC and zoning amendments for trees
- At least 100,000 public and private high quality, native and adaptive trees that increase the canopy are planted to increase the canopy to 20%",## URBAN FORESTRY,This listed sub-action qualifies because it specifies a binding mechanism: LVMC and zoning amendments. The exact provisions are not detailed.,Nature-Based Solutions,True,0.76,"- The source explicitly lists “LVMC and zoning amendments for trees,” which calls for amending the Las Vegas Municipal Code and zoning ordinances.
- Amending municipal code and zoning constitutes a binding mechanism (law/regulation), satisfying the criterion that a VALID policy includes a binding mechanism.
- While the exact provisions are not detailed, the commitment to enact code/zoning amendments is a concrete regulatory action, meeting at least one strong soundness dimension."
sub,Reduce urban heat hazards through green infrastructure and urban forestry actions.,"Plant at least 100,000 public and private native and adaptive trees to increase canopy to 20%.","Due to notable increases in the urban heat island effect, steps must be taken to reduce heat hazards with appropriate green infrastructure, including:

- LVMC and zoning amendments for trees
- At least 100,000 public and private high quality, native and adaptive trees that increase the canopy are planted to increase the canopy to 20%",## URBAN FORESTRY,"This sub-action is a concrete policy because it contains quantified targets for tree planting and canopy coverage, even though no deadline is given.",Nature-Based Solutions,True,0.9,"- The source explicitly sets quantifiable targets: “At least 100,000 public and private high quality, native and adaptive trees … are planted” and a measurable outcome to “increase the canopy to 20%.”
- It specifies a concrete intervention with a clear deliverable: planting trees (a countable action).
- While no deadline is provided, the presence of numeric targets and a defined intervention meets the “VALID” criteria (quantifiable target and specific named intervention)."
parent,,Expand park access and connectivity through park planning and measurable open-space access targets.,"Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will

- Develop  a  Parks  System  Plan  and  achieve  CAPRA certification
- Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need
- Ensure 85% of dwelling units are within a short walk of a park or trail",## PARKS AND CONNECTIVITY,This is a parent initiative with bullet sub-actions. It qualifies because it includes named interventions and quantified acreage and access targets.,Nature-Based Solutions,True,0.9,"The source sets clear, measurable outcomes and named interventions:
- Quantifiable targets: “Increase park acreage to 7 acres per 1,000 residents” and “Ensure 85% of dwelling units are within a short walk of a park or trail,” both providing numeric benchmarks for acreage and access.
- Specific interventions/deliverables: “Develop a Parks System Plan and achieve CAPRA certification,” which are concrete actions with identifiable completion.
These satisfy the criteria for VALID via quantifiable targets and specific named interventions."
sub,Expand park access and connectivity through park planning and measurable open-space access targets.,Develop a Parks System Plan and achieve CAPRA certification.,"Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will

- Develop  a  Parks  System  Plan  and  achieve  CAPRA certification
- Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need
- Ensure 85% of dwelling units are within a short walk of a park or trail",## PARKS AND CONNECTIVITY,This listed sub-action qualifies because it commits to a named planning intervention and certification outcome. Climate relevance is indirect via green/open-space infrastructure.,Nature-Based Solutions,True,0.78,"- The source explicitly commits to “Develop a Parks System Plan and achieve CAPRA certification.”
- This includes two specific, named interventions with clear, binary deliverables:
  - “Develop a Parks System Plan” results in a tangible plan document.
  - “Achieve CAPRA certification” is a formal accreditation with defined standards; attainment is measurable (certified vs. not).
- While no timeline or numeric target is provided, the presence of a clear certification outcome satisfies the criterion of a specific intervention with a clear deliverable."
sub,Expand park access and connectivity through park planning and measurable open-space access targets.,"Increase park acreage to 7 acres per 1,000 residents in areas of need.","Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will

- Develop  a  Parks  System  Plan  and  achieve  CAPRA certification
- Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need
- Ensure 85% of dwelling units are within a short walk of a park or trail",## PARKS AND CONNECTIVITY,This sub-action qualifies as policy because it sets a quantifiable service target for park provision.,Nature-Based Solutions,True,0.84,"- The source explicitly states: ""Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need.""
- This provides a clear, quantifiable target (7 acres per 1,000 residents) with measurable units (acres per population).
- The phrasing ""the City will"" indicates a commitment rather than a mere intention or process.
- While no deadline is given, the presence of a numeric service standard satisfies the criterion for a quantifiable target, making the action trackable."
sub,Expand park access and connectivity through park planning and measurable open-space access targets.,Ensure 85% of dwelling units are within a short walk of a park or trail.,"Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will

- Develop  a  Parks  System  Plan  and  achieve  CAPRA certification
- Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need
- Ensure 85% of dwelling units are within a short walk of a park or trail",## PARKS AND CONNECTIVITY,This sub-action qualifies because it sets a measurable access target for parks and trails.,Nature-Based Solutions,True,0.8,"- The source explicitly states: ""Ensure 85% of dwelling units are within a short walk of a park or trail.""
- This sets a quantifiable target: 85% of dwelling units (a measurable denominator and percentage outcome).
- The outcome is defined as proximity to a park or trail; while ""short walk"" is not numerically specified here and no deadline/binding mechanism is given, the presence of a clear percentage coverage target satisfies the criterion of a quantifiable target."
parent,,Strengthen food system resilience through healthy food access and urban agriculture actions.,"Given  the  lack  of  regional  agriculture,  it  is  necessary to ensure supply chain security and redundancy. To supplement these efforts, the City must ensure:

- No food deserts and reduce food swamps by increasing healthy food access
- Provide accessibility to community gardens and increase allowable small agricultural uses",## FOOD AND URBAN AGRICULTURE,"This is a parent initiative because it introduces a policy objective followed by bullet sub-actions. It qualifies through specific interventions, though the climate link is resilience and local food system redundancy rather than direct emissions reduction.",Adaptation,True,0.74,"- The source explicitly sets a measurable target: ""No food deserts,"" which implies a quantifiable outcome of zero food deserts across the jurisdiction. This satisfies the criterion of a quantifiable target (numbers/units), even though no deadline is provided.
- It further specifies action areas aligned with the policy statement: ""increase healthy food access"" and ""Provide accessibility to community gardens and increase allowable small agricultural uses,"" which are concrete directions for urban agriculture and access (though not fully quantified or time-bound).
- There is no binding mechanism or budget cited, and ""reduce food swamps"" is less specific. However, the presence of the clear, measurable end-state (""No food deserts"") is sufficient to meet at least one VALID criterion."
sub,Strengthen food system resilience through healthy food access and urban agriculture actions.,Eliminate food deserts and reduce food swamps by increasing healthy food access.,"Given  the  lack  of  regional  agriculture,  it  is  necessary to ensure supply chain security and redundancy. To supplement these efforts, the City must ensure:

- No food deserts and reduce food swamps by increasing healthy food access
- Provide accessibility to community gardens and increase allowable small agricultural uses",## FOOD AND URBAN AGRICULTURE,"This listed sub-action qualifies because it commits to a specific intervention on food access. It is climate-relevant mainly through resilience and supply-chain redundancy, but the target is not quantified.",Adaptation,True,0.73,"- The source states: “the City must ensure: - No food deserts and reduce food swamps by increasing healthy food access.” This aligns with the policy statement.
- “No food deserts” constitutes a quantifiable target (zero food deserts), which is a measurable outcome even though no deadline is provided.
- “Reduce food swamps” is vague (no baseline or magnitude), and “increasing healthy food access” is a general approach, not a specific named intervention.
- There is no explicit binding mechanism or resource allocation in the text.
- Nonetheless, the presence of a clear, measurable target (“No food deserts”) satisfies the criterion of having at least one quantifiable target."
parent,,Prioritize environmental justice by reducing environmental exposure and risk in low-income and minority communities.,"Reducing  exposure  and  risk  to  low-income  and  minority communities must be prioritized, especially for new transportation and infrastructure projects. The City must:

- Ensure an air quality index of 100 or better
- Eliminate brownfields within the City by redevelopment
- Improve stormwater pollution prevention efforts
- Engage residents of all races, ethnicities, abilities and means  in  the  planning  and  transportation  decisionmaking process",## ENVIRONMENTAL JUSTICE,"This is a parent initiative with listed sub-actions. It qualifies because it includes concrete actions and a quantified air-quality threshold, though some items are broader environmental governance measures.",Adaptation,True,0.84,"- The source explicitly frames the goal as prioritizing reductions in exposure and risk for “low-income and minority communities,” matching the policy statement’s EJ focus.
- It includes a quantifiable target: “Ensure an air quality index of 100 or better,” which is a numeric threshold satisfying the quantifiable target criterion.
- It specifies a clear deliverable intervention: “Eliminate brownfields within the City by redevelopment,” which names an intervention (redevelopment) and an outcome (zero brownfields).
- While two items are process/vague (“Improve stormwater pollution prevention efforts”; “Engage residents…”), the presence of both a numeric target and a concrete deliverable makes the overall policy actionable."
