role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category,is_actionable,validation_confidence,validation_reasoning
individual,,Seattle commits to become carbon neutral by 2050.,"In 2011, the Mayor and City Council adopted a bold climate protection goal for our community to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312). The resulting 2013 Climate Action Plan (CAP) provided a coordinated strategy aimed at reducing GHG emissions while also supporting other community goals, including building vibrant neighborhoods, fostering economic prosperity, and enhancing racial and social justice.",| Background,Qualifies because it sets a quantified long-term target with an official adoption mechanism (Resolution 31312).,Mitigation,no,direct,,True,0.86,"- The source states the City “adopted a ... goal ... to become carbon neutral by 2050,” which is a quantifiable target with a clear deadline (criterion 1).
- It references “Resolution 31312,” indicating formal adoption by Mayor and City Council, providing an official mechanism anchoring the commitment.
- While it also mentions directing creation of a plan (a process), the presence of the 2050 carbon-neutral target and its adoption via resolution are sufficient for validity."
individual,,Seattle's right-of-way charging pilot permits publicly available EV charging stations on certain non-residential streets.,"To meet that need, in 2017, a pilot program was initiated to permit the installation of publicly-available electric vehicle charging stations on non-residential streets in urban villages, urban centers, and commercial streets. To date, over 60 applications have been received from three applicants, including Seattle City Light, who installed the first station in February 2018.",Electric Vehicle Charging in the Right of Way,Qualifies as a specific named intervention with a permitting mechanism and defined siting scope.,Mitigation,no,direct,,True,0.86,"- The source explicitly states a “pilot program was initiated to permit the installation of publicly-available electric vehicle charging stations” — a concrete policy action and permitting mechanism, not just aspirational language.
- It defines the siting scope: “non-residential streets in urban villages, urban centers, and commercial streets,” providing clear geographic/land-use boundaries.
- Evidence of implementation (“over 60 applications… first station in February 2018”) shows the policy is actionable and operational.
- This satisfies the VALID criterion of a specific intervention with a clear deliverable (authorizing and permitting installation of EV chargers in named areas), and indicates a binding mechanism via permits."
individual,,Seattle City Light will install 20 public fast charging stations and launch a residential home charging program.,"Through the right of way charging pilot program described above, City Light is installing 20 public fast charging stations to increase access, while also ensuring that charging is distributed more equitably around the city. The residential program will offer customers access to inhome charging at a manageable monthly cost and is expected to launch in the fall of 2018.",Seattle City Light Charging Program,Qualifies because it names specific interventions and includes a numeric deployment commitment.,Mitigation,no,direct,,True,0.9,"- The source states: “City Light is installing 20 public fast charging stations,” which is a clear, quantifiable target (20 stations) and a concrete deliverable.
- It also says: “The residential program will offer customers access to inhome charging … and is expected to launch in the fall of 2018,” indicating a specific intervention (a residential home charging program) with a timeline for launch.
- These elements satisfy validity criteria: a numeric deployment commitment and a named intervention with a clear deliverable and timeframe."
individual,,Seattle amended the electrical code to require new parking to be EV-charging ready.,"In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",Electrical Code,Qualifies because it is a binding code change with explicit technical requirements.,Mitigation,no,direct,,True,0.93,"- Binding mechanism: The source states “the Seattle Electrical Code was amended,” indicating a formal regulatory change.
- Quantifiable/technical requirement: It “requires adequate electrical capacity to serve one electric vehicle charging station per parking space,” a clear, measurable standard (1 EVCS per space).
- Specific deliverables: It mandates “construction documents show the location of equipment and conduit,” specifying concrete implementation details.
These elements make the policy actionable and enforceable, satisfying multiple VALID criteria."
individual,,Seattle will develop a dense network of shared mobility hubs co-located with transit facilities and equipped to support electric shared mobility.,"Seattle's Shared Mobility Hub program will aggregate transportation connections, travel information, and other mobility amenities into a seamless, understandable, and on-demand travel experience. The Seattle Transportation Department is developing a dense network of shared mobility hubs throughout the city, co-located with major transit facilities and in places where frequent transit services intersect. A key objective for shared mobility hubs is to advance the use of electric car share and ride hail vehicles by accommodating fast charging at or very near hub locations.",Shared Mobility Hubs,Qualifies as a named program with a concrete infrastructure intervention; climate effect is through low-carbon mobility and electrification.,Mitigation,no,indirect,,True,0.76,"- The source names a concrete program: “Seattle’s Shared Mobility Hub program” and states the city “is developing a dense network of shared mobility hubs throughout the city, co-located with major transit facilities and in places where frequent transit services intersect.”
- It specifies tangible infrastructure deliverables: creation of “shared mobility hubs” with an objective to support electrification by “accommodating fast charging at or very near hub locations.”
- Although there is no numeric target or deadline, this meets the criterion of a specific named intervention with clear deliverables (build hubs at major transit nodes and equip them to support fast charging), moving beyond vague intentions or mere process."
individual,,The Green Fleet Action Plan commits the City to reduce municipal fleet emissions by 50 percent by 2025.,"The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement. The City's fleet includes over 200 electric vehicles and over 300 hybrid vehicles.",Municipal Fleet,"Qualifies because it has a quantified target, deadline, and specific implementation mechanisms.",Mitigation,no,direct,Resource Efficiency,True,0.9,"- The source states a quantified, time-bound target: “reduce municipal fleet emissions by 50 percent by 2025,” satisfying the quantifiable target criterion (numbers + deadline).
- It specifies concrete implementation pathways: “increasingly electrifying the fleet,” “using cleaner fuels when electrification is not feasible,” “increasing efficiency,” and “setting standards for vehicle procurement,” which are named interventions.
- It provides evidence of measurable progress/tracking (“over 200 electric vehicles and over 300 hybrid vehicles”), reinforcing actionability.
- While phrased as “guides the City's efforts to meet the goal,” the presence of a clear numeric target and date, plus defined interventions, makes the policy actionable/measurable."
individual,,"Seattle's Energy Benchmarking Program requires large nonresidential and multifamily buildings to track and annually report energy performance, with public disclosure of data.","Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation.",Benchmarking,Qualifies because it is a binding ordinance-based reporting requirement for building energy use.,Resource Efficiency,no,indirect,,True,0.92,"- The source cites a binding legal mechanism: “Seattle's Energy Benchmarking Program (SMC 22.920)” and uses mandatory language “requires owners,” indicating an enforceable ordinance.
- It specifies who is covered and a measurable threshold: “nonresidential and multi-family buildings (20,000 square feet or larger),” which is a quantifiable scope.
- It defines a clear deliverable and cadence: “track energy performance and annually report to the City,” which is actionable and time-bound.
- It includes a specific transparency provision: “updated in 2016 to make reported data publicly available,” providing an additional concrete requirement (public disclosure of data).

These elements satisfy the criteria for validity via a binding mechanism and specific, measurable reporting obligations."
individual,,Seattle's Building Tune-Ups Ordinance requires large commercial buildings to complete tune-ups improving energy and water efficiency.,"Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019.  A Qualified Tune-Ups Specialist is required to complete the assessment, report to the City, and monitor implementation of operational and maintenance improvements.",Tune Ups,Qualifies because it is a binding ordinance with size thresholds and implementation requirements.,Resource Efficiency,no,indirect,Mitigation,True,0.92,"- Binding mechanism: The source states it is an ordinance (SMC 22.930) that “requires” action, indicating a legal mandate.
- Quantifiable scope: Applies to “commercial buildings 50,000 square feet or larger,” a clear, measurable threshold.
- Time-bound compliance: “Compliance deadlines will be phased in by building size, beginning in early 2019,” providing enforceable timing.
- Specific deliverables and process: A “Qualified Tune-Ups Specialist is required to complete the assessment, report to the City, and monitor implementation,” specifying concrete actions and reporting obligations tied to improving “energy and water efficiency.”

These elements make the policy actionable and enforceable, satisfying multiple VALID criteria."
individual,,The City commits to meet the Building Tune-Ups deadline one year earlier than required for private owners.,"To demonstrate leadership, build capacity in the industry, and help reduce compliance costs, the city has committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.",Tune Ups,Qualifies because it is a formal city commitment under a named resolution with a clear compliance change.,Resource Efficiency,no,indirect,,True,0.9,"The source explicitly states a formal commitment with a named resolution: ""the city has committed (Resolution 31652)""—this indicates a binding mechanism. It also specifies a quantifiable, time-bound target: ""meeting the Building Tune-Ups deadline one year earlier than required for private owners,"" which is measurable (one-year acceleration against an established deadline). The intervention is specific—the ""Building Tune-Ups"" compliance timeline—providing a clear deliverable (early compliance)."
individual,,Seattle is implementing the Building Tune-Up Accelerator Program to provide incentives for early compliance with the Tune-Ups Ordinance.,"With funding from a Department of Energy grant, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance. The Accelerator is a voluntary program for owners of mid-size buildings, those 50,000-100,000 square feet, to conduct a tune-up that meets the Seattle Building Tune-Up requirements in advance of when their building is required to comply (2020 & 2021).",Tune-Up Accelerator,"Qualifies as a named program with defined eligibility, intervention, and incentive support.",Resource Efficiency,yes,indirect,,True,0.9,"- The source states “the City is implementing the Building Tune-Up Accelerator Program,” which is a specific, named intervention.
- It specifies eligibility and scope: “owners of mid-size buildings, those 50,000-100,000 square feet,” indicating clear target population and quantifiable size thresholds.
- It defines the deliverable and timeline: to “conduct a tune-up that meets the Seattle Building Tune-Up requirements in advance of when their building is required to comply (2020 & 2021),” tying actions to concrete compliance years.
- It notes committed resources: “With funding from a Department of Energy grant,” indicating allocated funding to support the program.
- It provides “incentives for early compliance,” linking the program to a measurable outcome (completed tune-ups before specified deadlines) and anchoring it to an existing ordinance.

These elements satisfy multiple validity criteria: a specific named intervention with clear deliverables, quantifiable eligibility/timelines, and committed funding."
individual,,Seattle's Oil Heated Home Conversion program provides incentives for homeowners to replace oil heating with electric heat pumps.,"The Oil Heated Home Conversion program provides incentives for homeowners to replace oil heating systems with clean, efficient, electric heat pumps. By partnering with a heat pump distributor, who provides matching incentives, the program is converting 200 homes per year, while also influencing the home heating market so that electric heat pumps become a preferred heating system.",Oil Heated Home Conversion,Qualifies because it is a specific named program with incentives and a quantified annual conversion rate.,Mitigation,yes,direct,Resource Efficiency,True,0.9,"- The source names a specific intervention: “The Oil Heated Home Conversion program provides incentives for homeowners to replace oil heating systems with … electric heat pumps,” which is a concrete deliverable (fuel-switching via heat pump installations).
- It includes a quantifiable outcome: “the program is converting 200 homes per year,” providing a measurable target/throughput.
- It also notes an implementation mechanism (“partnering with a heat pump distributor, who provides matching incentives”), reinforcing the program’s specificity.

These elements satisfy VALID criteria: a specific named intervention with a clear deliverable and a quantifiable outcome."
individual,,Seattle's 2015 commercial energy code requires either non-fossil-fuel heating or more efficient windows.,"An analysis of the 2012 Seattle Energy Code (SEC) found that commercial buildings meeting our code are, on average, 11 percent more efficient than those designed to the national standard, and the current code is approximately 20 percent more efficient. The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows.",Energy Code,Qualifies because it is a binding code standard with explicit building requirements tied to emissions and efficiency.,Mitigation,no,direct,Resource Efficiency,True,0.93,"- The source explicitly states a binding requirement in the 2015 Seattle Energy Code: “The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows.” The term “requiring” within an energy code indicates a regulatory, enforceable mandate.
- This meets the binding mechanism criterion (a law/regulation) and specifies concrete interventions (non-fossil-fuel heating or higher-efficiency windows), satisfying the requirement for a specific named intervention with a clear deliverable.
- Therefore, the policy statement is actionable and enforceable, not merely aspirational."
individual,,"Seattle provides expedited permitting for projects meeting green building, energy efficiency, water conservation, and indoor air quality criteria.","Seattle Department of Construction and Inspections provides expedited permitting for projects achieving green building certification and meeting minimum energy efficiency (15 percent better than code), water conservation, and indoor air quality criteria.",Priority Green,Qualifies as a specific incentive-based permitting policy with explicit performance thresholds.,Resource Efficiency,no,indirect,,True,0.92,"- The source states a concrete intervention: ""Seattle Department of Construction and Inspections provides expedited permitting"" — a specific, named deliverable (expedited permits).
- It ties this incentive to clear eligibility criteria: projects ""achieving green building certification"" and ""meeting minimum energy efficiency (15 percent better than code), water conservation, and indoor air quality criteria.""
- There is a quantifiable target: ""15 percent better than code"" for energy efficiency.
- These elements satisfy VALID criteria through (1) a specific named intervention with a clear deliverable (expedited permitting) and (2) a quantifiable performance threshold (15% better than code), plus defined certification/criteria."
parent,,Seattle uses zoning incentives to catalyze development that exceeds code through green building performance standards.,"Multiple zoning incentives are available to catalyze development that is more efficient than code:

- Currently, developers can access additional height, floor area, or density In certain zones by meeting the City's Green Building Standard.",Zoning Incentives,Qualifies as an umbrella initiative because the section introduces multiple specific incentive mechanisms listed beneath it.,Resource Efficiency,no,indirect,,True,0.82,"- The source explicitly states “Multiple zoning incentives are available to catalyze development that is more efficient than code,” aligning with the policy’s claim of using zoning incentives to exceed code.
- It provides a concrete mechanism: “developers can access additional height, floor area, or density in certain zones by meeting the City's Green Building Standard.”
- This reflects a binding regulatory lever (zoning incentives within land-use regulation) and a specific named intervention (“City's Green Building Standard”) with a clear deliverable (extra height/FAR/density) contingent on compliance.
- While no numeric targets are given here, the enforceable condition “meeting the City's Green Building Standard” implies measurable criteria embedded in that standard, satisfying the requirement for a specific intervention tied to compliance."
sub,Seattle uses zoning incentives to catalyze development that exceeds code through green building performance standards.,"Developers can receive additional height, floor area, or density by meeting the City's Green Building Standard including 15 percent greater energy efficiency than code.","Currently, developers can access additional height, floor area, or density In certain zones by meeting the City's Green Building Standard. Director's Rule 20-2017 identifies the requirements, which include adhering to one of the building industry's green building certification programs and demonstrating that the project is 15 percent more energy efficient than code.",Zoning Incentives,Qualifies as a specific sub-policy under zoning incentives with explicit incentive and efficiency threshold.,Resource Efficiency,no,indirect,,True,0.9,"- Quantifiable target: The source requires “demonstrating that the project is 15 percent more energy efficient than code,” providing a clear numeric threshold.
- Binding mechanism: It cites “Director's Rule 20-2017 [that] identifies the requirements,” indicating a formal regulatory framework.
- Specific deliverable/incentive: It offers “additional height, floor area, or density in certain zones” upon meeting the standard, a concrete, measurable development bonus.
These elements make the policy actionable and measurable rather than aspirational."
sub,Seattle uses zoning incentives to catalyze development that exceeds code through green building performance standards.,The Living Building Pilot Program offers additional height and floor area for up to 20 projects meeting advanced green building criteria including no on-site fossil-fuel combustion and 25 percent better energy efficiency than code.,"The Living Building Pilot Program provides additional height and floor area for up to 20 projects that meet more extensive green building criteria, which includes achieving Living Building Petal Certification (with no on-site combustion of fossil-fuels), plus energy efficiency 25 percent better than code, and greywater and/or rainwater used for all non-potable water needs (e.g. toilet flushing, irrigation).",Zoning Incentives,Qualifies as a specific listed pilot with numeric cap and clear performance criteria.,Resource Efficiency,no,indirect,Mitigation,True,0.9,"- Named intervention with a clear deliverable: “The Living Building Pilot Program provides additional height and floor area,” specifying the incentive mechanism.
- Quantifiable cap: “for up to 20 projects,” providing a numeric limit.
- Measurable performance criteria: requires “achieving Living Building Petal Certification (with no on-site combustion of fossil-fuels),” “energy efficiency 25 percent better than code,” and use of “greywater and/or rainwater…for all non-potable water needs.” These are specific, testable outcomes.
- Therefore, the policy is actionable and measurable based on quantitative targets and defined requirements tied to a concrete program incentive."
sub,Seattle uses zoning incentives to catalyze development that exceeds code through green building performance standards.,"Seattle is proposing a redevelopment pilot for up to 20 existing buildings that would grant additional height and floor area for meeting 2030 District-aligned energy, fossil-fuel, water, and travel standards.","Legislation is currently being proposed that would create a companion pilot program for redevelopment of up to 20 existing buildings. Projects would receive additional height and floor area if they meet standards consistent with the goals of the Seattle 2030 District, including 25 percent more energy efficient than code, no fossil-fuel for space or water heating, combined stormwater and potable water use 50 percent below the 2030 District baseline, and travel mode share percentages to the Comprehensive Plan standards for 2035.",Zoning Incentives,Qualifies as a proposed legislative pilot with numeric scope and explicit standards; still a policy commitment despite being proposed.,Resource Efficiency,no,indirect,Mitigation,True,0.88,"- The source specifies a concrete, scoped intervention: “a companion pilot program for redevelopment of up to 20 existing buildings,” which is a specific named program with a quantified cap (“up to 20”).
- It sets measurable performance standards tied to clear metrics:
  - “25 percent more energy efficient than code” (quantifiable target).
  - “no fossil-fuel for space or water heating” (binary, verifiable standard).
  - “combined stormwater and potable water use 50 percent below the 2030 District baseline” (quantifiable target).
  - “travel mode share percentages to the Comprehensive Plan standards for 2035” (references specific, externally defined numeric targets).
- It includes a concrete mechanism/incentive: “Projects would receive additional height and floor area if they meet standards,” creating an enforceable compliance trigger.
- While the text notes it is “Legislation … being proposed,” the presence of multiple quantifiable targets and a defined pilot structure makes the policy actionable and measurable even prior to enactment."
individual,,Seattle's Sustainable Building Policy requires City-owned new construction and major renovations to achieve LEED Gold and target 15 percent better energy performance than code.,"In 2011, the City updated its Sustainable Building Policy for City-owned buildings covering new construction and major renovations. In addition to the requirement to achieve LEED Gold certification, projects are expected to be 15 percent more energy efficient than the current code.",Municipal Buildings,Qualifies because it is a formal city policy with defined building requirements.,Resource Efficiency,no,indirect,,True,0.92,"- The source describes a formal City policy update for City-owned buildings covering “new construction and major renovations,” indicating a binding mechanism (a City policy).
- It includes a clear, named, and measurable requirement: “achieve LEED Gold certification,” which is a specific certification deliverable.
- It also sets a quantifiable performance target: projects “are expected to be 15 percent more energy efficient than the current code.”
- Even though “expected” is softer language for the 15% target, the LEED Gold requirement alone provides a concrete, enforceable standard. Combined, these meet criteria for quantifiable targets and specific deliverables within a binding policy."
individual,,Seattle's Resource Conservation Management Plan sets a goal to reduce energy use across City-owned buildings by 20 percent by 2020 from a 2008 baseline.,"In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline). The Office of Sustainability & Environment manages the dedicated funding and works with individual capital departments to prioritize, develop and implement energy efficiency projects.",Municipal Buildings,"Qualifies because it sets a quantified target, deadline, resolution, and dedicated funding.",Resource Efficiency,yes,indirect,,True,0.95,"- The source explicitly sets a quantifiable target: “20 percent reduction in energy use” and defines the scope “across City-owned buildings,” anchored to a clear baseline “(2008 baseline).”
- It provides a deadline: “by 2020.”
- It indicates a formal policy instrument: “the City adopted a Resource Conservation Management Plan (Resolution 31491),” which is a binding resolution adopting the plan.
- It references committed resources and implementation structure: “The Office of Sustainability & Environment manages the dedicated funding and works with individual capital departments to prioritize, develop and implement energy efficiency projects.”

These elements satisfy multiple VALID criteria: quantifiable target with deadline and baseline; formal adoption via resolution; and dedicated funding for implementation."
individual,,Seattle will pass a 2018 electric vehicle readiness ordinance requiring new construction or renovated parking structures to include EV infrastructure.,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.

The most cost-effective time to build charging stations and provide the electrical infrastructure for future charging stations is during initial site development.",Electric vehicle readiness ordinance for new construction,Qualifies because it is a clear future regulatory commitment with a deadline and specific intervention.,Mitigation,no,direct,,True,0.9,"- The source states “Pass a new electric vehicle readiness ordinance in 2018,” which is a binding mechanism (an ordinance) with a clear deadline (2018).
- It specifies the intervention and deliverable: the ordinance “will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure,” defining a concrete requirement for future projects.
- This satisfies criteria: (2) Binding mechanism (law/ordinance) and (3) Specific named intervention with a clear deliverable, making the policy actionable and verifiable."
individual,,Seattle will release in 2018 a map and strategy for optimal distribution of charging infrastructure.,"Release map of optimal distribution of charging infrastructure in 2018.

While Seattle is one of the top US markets for electric vehicles, charging availability and convenience is a significant barrier to widespread adoption. An effective and just distribution of charging stations is critical to realizing the goal of 30 percent of light duty vehicles being electric by 2030, and to support electrification of professional fleets.",Charging station network map &amp; strategy,Qualifies because it contains a dated commitment and explicit EV adoption target context.,Mitigation,no,direct,,True,0.9,"- The source explicitly commits to a dated deliverable: “Release map of optimal distribution of charging infrastructure in 2018.” This is a specific output with a clear deadline, making it measurable.
- The action is concrete (a map release), not just exploratory language, satisfying the criterion of a specific named intervention with a clear deliverable.
- The contextual goal (“30 percent of light duty vehicles being electric by 2030”) underscores relevance but is not required for validity; the 2018 deliverable alone meets the VALID threshold."
individual,,Seattle will create a new Green Fleet Action Plan by the end of 2018 to accelerate municipal fleet electrification and phase out fossil fuels.,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.

The Green Fleet Action Plan will outline a strategy for infrastructure and vehicle deployment as well as identify pathways for heavy duty electrification, in conjunction with key city departments and with emergency management considerations.",Green Fleet Action Plan update,Qualifies due to a dated planning commitment with explicit mitigation outcomes and implementation scope.,Mitigation,no,direct,,True,0.78,"- The source explicitly commits to “Create a new Green Fleet Action Plan, by the end of 2018,” which provides a concrete, time-bound deliverable (a dated deadline).
- It specifies the intervention and deliverable by name (“Green Fleet Action Plan”) and describes its implementation scope: “outline a strategy for infrastructure and vehicle deployment” and “identify pathways for heavy duty electrification,” indicating clear planning outputs beyond generic intent.
- While the mitigation outcomes (“accelerate electrification” and “phase out fossil fuel use”) are not quantified, the presence of a firm deadline and a specific, named deliverable satisfies the criteria for actionability (quantifiable deadline and clear deliverable)."
individual,,"The Mayor will issue an Executive Order requiring City departments to assess GHG impacts of plans, policies, and major investments.","Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments.

The Mayor will direct the Office of Sustainability & Environment to work with departments to define the types of projects to assess, the assessment method, and how to account for the broader costs of carbon, by October 2018.",Assess GHG Emissions Impact of City decisions,Qualifies because it is a binding executive mechanism with a concrete administrative deadline.,Mitigation,no,direct,,True,0.9,"- The source explicitly states: ""Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments."" An Executive Order is a binding mechanism compelling departmental action.
- It defines a specific intervention and deliverable: departments must conduct GHG impact assessments for plans, policies, and major investments.
- It includes a concrete deadline: ""by October 2018"" for defining project types, assessment method, and carbon cost accounting, which makes the process time-bound and actionable.

Together, these meet the criteria for VALID: presence of a binding mechanism and a clear, time-bound implementation step."
individual,,"Seattle will create a pilot offering additional height and floor area incentives for up to 20 major renovations achieving major energy, water, and transportation performance improvements by 2025.","Create pilot program offering additional height and floor area incentives for significant upgrades in energy and water use, and transportation efficiency.

A new pilot will offer additional height and floor area incentives for up to 20 major renovations in urban centers outside the International District. Projects would receive the incentives in exchange for cutting energy and water use well below code, including no use of fossil fuels for heating.","Establish new 2030 Challenge pilot for 20 upgraded, high performing projects by 2025","Qualifies because it is a specific pilot with a numeric cap, incentive mechanism, and defined performance conditions.",Resource Efficiency,no,indirect,Mitigation,True,0.82,"- The source specifies a concrete intervention: “Create pilot program offering additional height and floor area incentives,” which is a specific policy mechanism.
- It sets a quantifiable scope: “up to 20 major renovations,” providing a numeric cap.
- It ties incentives to measurable outcomes: “cutting energy and water use well below code, including no use of fossil fuels for heating,” which are performance conditions (binary fossil-fuel criterion; code-based benchmarks).
- It also targets “transportation efficiency,” indicating the intended performance domains.
- Note: The “by 2025” deadline in the policy statement is not present in the source quote, but the policy remains actionable/measurable based on the numeric cap and defined conditions."
