location,key,category,policy_id,grade,similarity,statement_match,role_match,category_match,reasoning
Austin_US,"Mitigation::gt53_ext1_AUSTIN CLIMATE EQUITY PLAN | 7

Austin will achieve net-zero community-wide",Mitigation,"AUSTIN CLIMATE EQUITY PLAN | 7

Austin will achieve net-zero community-wide",-1,0.6062,False,False,True,"The extracted policy does not match the ground-truth policy. The ground-truth is a specific transportation equity commitment: leading a just transition to an electrified regional transportation system through collaboration with workforce and community groups so low-income communities and communities of color benefit. The extracted text instead states a broad net-zero community-wide goal and omits the transportation focus, just transition framing, target beneficiaries, and collaboration mechanism. This is not a meaningful match."
Austin_US,Mitigation::gt93_ext2_Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,Mitigation,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,1,1.0,True,True,True,"The extracted policy exactly matches the ground-truth policy in scope ('community-wide greenhouse gas emissions'), commitment ('will achieve'), and deadline ('by 2040'). No discrepancies or missing details are present."
Austin_US,Mitigation::gt8_ext4_- Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%,Mitigation,- Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%,0,0.668,False,False,False,"The extracted policy is directionally related to refrigerant leakage reduction, matching the general topic of reducing emissions from refrigerants. However, it does not capture the ground-truth policy’s core mechanism and scope: partnering with commercial refrigeration and HVAC stakeholders to create incentives for leak detection, prevention, and repair. Instead, it introduces a quantified 25% community-wide emissions reduction target that is not present in the ground truth. Because the intent overlaps but key delivery mechanisms are missing and specificity is misaligned, this is only a partial match."
Austin_US,Mitigation::gt14_ext5_- Reduce the embodied carbon footprint of building materials used in local const,Mitigation,- Reduce the embodied carbon footprint of building materials used in local const,0,0.5608,False,False,True,"The extracted policy is directionally related to reducing impacts from building materials, but it does not match the ground-truth on key elements. The ground-truth centers on creating a performance framework and educational programming, addressing both lifecycle and health impacts, and prioritizing low-income communities and communities of color. The extraction instead introduces a specific 40% embodied carbon reduction target that is not reflected in the ground-truth, omits the implementation mechanisms, omits health impacts, and omits the equity focus. Because the source excerpt is not provided, this cannot be verified against document text, but relative to the ground-truth it is only a partial, imprecise match rather than a full one."
Austin_US,"Mitigation::gt63_ext6_- Reduce greenhouse gas emissions from institutional, commercial, and government",Mitigation,"- Reduce greenhouse gas emissions from institutional, commercial, and government",-1,0.6453,False,False,True,"The extracted policy does not match the ground-truth commitment. The ground truth is a recruitment/adoption target: get at least 50% of local large institutional purchasers and at least 2,500 local organizations to adopt sustainability procurement standards or guidelines. The extracted policy instead claims a 50% emissions reduction from purchasing, which changes the scope, target type, and mechanism entirely. It omits the adoption/standards focus and the 2,500 organizations target, and introduces a hallucinated emissions-reduction outcome not supported by the ground-truth wording."
Austin_US,Mitigation::gt65_ext17_The largest reduction from this baseline will come from Austin Energy's 2030 Res,Mitigation,The largest reduction from this baseline will come from Austin Energy's 2030 Res,-1,0.5731,False,False,True,"The extracted policy does not match the ground-truth policy. The ground truth is about waste reduction, organics composting, and recycling aligned with the 2023 Austin Resource Recovery Comprehensive Plan. The extracted policy instead refers to reductions coming from Austin Energy's 2030 Resource Plan, which is a different sector and mechanism. This is not a meaningful match and appears unrelated to the stated waste policy."
Austin_US,Mitigation::gt49_ext23_income communities and communities of color. This may include green infrastructu,Mitigation,income communities and communities of color. This may include green infrastructu,-1,0.5668,False,True,False,"The extracted text does not match the ground-truth policy. The ground-truth is about expanding culturally competent outreach on EV charging incentives and installation to specific audiences (community groups, professional organizations, unions, and property managers). The extracted text instead lists possible project types for low-income communities and communities of color, including EV charging station installation among many unrelated items. It omits the outreach component, the culturally competent framing, the incentives aspect, and the target audiences. This is not a meaningful match."
Austin_US,"Mitigation::gt0_ext35_By 2030, achieve net-zero carbon* for all new buildings and reduce emissions by ",Mitigation,"By 2030, achieve net-zero carbon* for all new buildings and reduce emissions by ",1,0.9884,True,False,True,"The extracted policy matches the ground-truth policy exactly in scope, deadline, quantified targets, and covered sectors/mechanisms. It includes the 2030 deadline, net-zero carbon for all new buildings, a 25% emissions reduction for existing buildings, and a 30% reduction in natural gas-related emissions. The asterisk after 'net-zero carbon' does not materially change the meaning."
Austin_US,"Mitigation::gt5_ext36_By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage",Mitigation,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage",1,1.0,True,False,False,"The extracted policy exactly matches the ground-truth policy in target (25% reduction), scope (community-wide greenhouse gas emissions from refrigerant leakage), and deadline (by 2030). Commitment and specificity are fully preserved."
Austin_US,"Mitigation::gt11_ext37_By 2030, reduce the embodied carbon footprint of building materials used in loca",Mitigation,"By 2030, reduce the embodied carbon footprint of building materials used in loca",1,0.9821,True,False,True,"The extracted policy matches the ground-truth exactly in scope, target, baseline, and deadline: a 40% reduction in embodied carbon footprint of building materials used in local construction by 2030 from a 2020 baseline. The trailing asterisk does not change the substance. With no source excerpt provided, there is no evidence of contradiction."
Austin_US,"Resource Efficiency::gt16_ext38_By 2030, equitably achieve a community-wide water demand of approximately 152,00",Resource Efficiency,"By 2030, equitably achieve a community-wide water demand of approximately 152,00",1,0.9782,True,False,False,"The extracted policy matches the ground-truth on the key quantified target (approximately 152,000 acre-feet per year), deadline (by 2030), scope (community-wide water demand), equity framing, and delivery mechanism (implementing Water Forward strategies/plan). 'Water Forward Plan' is a minor wording variation from 'Water Forward strategies' and does not change the commitment."
