iteration,location,policy_statement,source_quote,section_header,extraction_rationale,role,parent_statement,primary_category,financial_instrument,climate_relevance,secondary_category
1,Seattle_US,Maintain the City’s climate protection goal to become carbon neutral by 2050 (Resolution 31312).,"In 2011, the Mayor and City Council adopted a bold climate protection goal for our community to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312). The resulting 2013 Climate Action Plan (CAP) provided a coordinated strategy aimed at reducing GHG emissions while also supporting other community goals, including building vibrant neighborhoods, fostering economic prosperity, and enhancing racial and social justice.",## | Background,"This is a quantified, time-bound community-wide target adopted by governing bodies (Mayor and City Council) via a cited resolution, which qualifies as a policy commitment even though implementation details are not enumerated in this excerpt.",individual,,Mitigation,no,direct,
1,Seattle_US,Affirm Seattle’s commitment to the goals of the Paris Agreement and direct the Office of Sustainability & Environment (OSE) to identify actions necessary to limit warming to 1.5°C (Resolution 31757).,"In response to the Trump administration's withdrawal of support for the international Paris Climate Agreement last year, the City Council adopted Resolution 31757, affirming Seattle's commitment to the goals established in the Paris Agreement, and directing the Office of Sustainability & Environment (OSE) to identify the actions necessary to do our part to limit warming to 1.5 degrees Celsius. The resulting actions, developed under the leadership of Mayor Durkan, reflect a tipping point in the transition to Seattle's zero emissions future.",## | Background,"A City Council resolution that both affirms a climate commitment and directs a City office to take specific follow-on action (identify necessary actions), meeting the binding mechanism criterion.",individual,,Mitigation,no,direct,
1,Seattle_US,Reduce passenger transportation emissions 82% by 2030 (stated city goal).,"Passenger transportation emissions declined an average of 0.5 percent per year since 2008. To achieve the 2030 goal of reducing passenger transportation emissions 82 percent, Seattle would have needed to reduce emissions from passenger vehicles an average of 7.5 percent each year from 2008 onwards.",## |Greenhouse Gas Emissions,"This is a quantified, time-bound emissions-reduction target (82% by 2030) referenced as an established city goal, qualifying as a policy target even though the excerpt discusses progress rather than adopting the goal.",individual,,Mitigation,no,direct,
1,Seattle_US,Reduce building emissions 39% by 2030 (stated city goal).,"Building emissions declined an average of 2.3 percent per year since 2008, which is on track to meet the goal of reducing emissions 39 percent by 2030 (2.2 percent per year). However, between 2012 and 2014 the pace of building emissions reductions has slowed to an average of 2.1 percent, and an analysis of anticipated reductions based on a current business-as-usual approach shows emissions in 2050 only 12 percent below 2008 levels.",## |Greenhouse Gas Emissions,"This is a quantified, time-bound emissions-reduction target (39% by 2030) referenced as an established goal; it qualifies as a policy target despite being described in a performance/progress context.",individual,,Mitigation,no,direct,
1,Seattle_US,Permit installation of publicly available EV charging stations in the right-of-way on non-residential streets via a 2017 pilot program.,"Visible and ready access to charging infrastructure is essential to expanding vehicle electrification. To meet that need, in 2017, a pilot program was initiated to permit the installation of publicly-available electric vehicle charging stations on non-residential streets in urban villages, urban centers, and commercial streets. To date, over 60 applications have been received from three applicants, including Seattle City Light, who installed the first station in February 2018.",## Electric Vehicle Charging in the Right of Way,A specific named intervention (pilot permitting program) that changes how right-of-way is used to enable EV charging; this is deliberate government action rather than background.,individual,,Mitigation,no,direct,
1,Seattle_US,"Implement Seattle City Light EV charging infrastructure pilot programs, including installing 20 public fast charging stations.","In response to customers' increasing desire for electric vehicles and to understand how best to manage the impact of vehicle charging on the electrical grid, Seattle City Light is designing and implementing two charging infrastructure pilot programs. The programs will expand public fast charging availability and support residential charging at home. Through the right of way charging pilot program described above, City Light is installing 20 public fast charging stations to increase access, while also ensuring that charging is distributed more equitably around the city.",## Seattle City Light Charging Program,"A specific utility intervention with quantified deployment (20 fast charging stations), meeting the named intervention/quantified target criteria.",individual,,Mitigation,no,direct,
1,Seattle_US,Amend the Seattle Electrical Code to require EV-ready electrical capacity in new parking (capacity for one EV charging station per parking space) and documentation for future conduit/equipment locations.,"In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",## Electrical Code,A binding regulatory code amendment with explicit technical requirements (one EV charging station per space capacity) that qualifies as a policy mechanism.,individual,,Mitigation,no,direct,
1,Seattle_US,"Develop a dense network of shared mobility hubs co-located with major transit facilities, including accommodating fast charging to advance electric car share and ride-hail vehicles.","Seattle's Shared Mobility Hub program will aggregate transportation connections, travel information, and other mobility amenities into a seamless, understandable, and on-demand travel experience. The Seattle Transportation Department is developing a dense network of shared mobility hubs throughout the city, co-located with major transit facilities and in places where frequent transit services intersect. A key objective for shared mobility hubs is to advance the use of electric car share and ride hail vehicles by accommodating fast charging at or very near hub locations.",## Shared Mobility Hubs,"A named program with a concrete planned intervention (developing a dense network of hubs) and explicit EV infrastructure component, meeting the named intervention criterion.",individual,,Mitigation,no,direct,
1,Seattle_US,"Reduce municipal fleet emissions by 50% by 2025 through electrification, cleaner fuels where needed, operational efficiency, and procurement standards (Green Fleet Action Plan).","The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement. The City's fleet includes over 200 electric vehicles and over 300 hybrid vehicles.",## Municipal Fleet,"Quantified, time-bound target (50% by 2025) plus named plan and mechanisms; clearly a policy commitment guiding municipal operations.",individual,,Mitigation,no,direct,Resource Efficiency
1,Seattle_US,"Require energy benchmarking and annual reporting for nonresidential and multifamily buildings ≥20,000 sq ft (SMC 22.920), and make reported data publicly available (2016 update).","Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation.",## Benchmarking,"Binding ordinance-based requirement with a defined applicability threshold and annual reporting; includes transparency requirement, making it a concrete policy.",individual,,Resource Efficiency,no,indirect,
