role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
individual,,"Set citywide greenhouse gas emissions reduction targets: 80% below FY2013 by FY2050, 30% below FY2013 by FY2030, and 5% below FY2013 by FY2020 (7% below FY2005).","## 2. Reduction target for greenhouse gas emissions

To  establish  the  reduction  target  of  greenhouse  gas  emissions,  the  city  will  set  the  long-term  target  based  on  the national government's target, keeping in mind the city Hiroshima aims to become. This will follow by the mid-term and short-term targets increasing the reduction effect estimated from concrete measures, etc.",## 2. Reduction target for greenhouse gas emissions,Quantified GHG reduction targets with target years (FY2020/FY2030/FY2050).,Mitigation,False,direct,
individual,,"Set FY2030 sectoral greenhouse gas reduction targets (vs FY2013): Industry CO2 7%, household CO2 40%, business CO2 40%, transport CO2 28%, waste CO2 6.7%; methane 12.3%; N2O 6.1%; F-gases 25.1%.","## *1 Setting of targets by sectors in the mid-term target

Apart from the total target amount, we set the targets by sector as follows:

- -Carbon Dioxide: Industry sector ▲ 7%, Consumer/household sector ▲ 40%, Consumer/business sector ▲ 40%, Transport sector ▲ 28%, Waste ▲ 6.7%
- -Methane ▲ 12.3%
- -Dinitrogen monoxide: ▲ 6.1%
- -4 gases such as chlorofluorocarbon alternatives: ▲ 25.1%",## *1 Setting of targets by sectors in the mid-term target,Quantified sector/gas reduction targets.,Mitigation,False,direct,
individual,,Set a short-term energy use reduction target of 5% (energy use not affected by the electricity CO2 emission factor).,"*2 Setting of short-term energy reduction target

Total amount of energy use that is not affected by the carbon dioxide emission factor of electric utility

- -Total amount of energy use: ▲ 5%",## *1 Setting of targets by sectors in the mid-term target,Quantified energy-use reduction target (efficiency-oriented).,Resource Efficiency,False,indirect,
parent,,"Implement Cross-sectional measures under three pillars (values, action/technology, social system).","## ◆ Cross-sectional measures

## 1) Promotion of development of environmentally-friendly people and offices (Change of Values)

In response to the statewide movement 'COOL CHOICE', citizens, business operators and administrations, etc., cooperate  under  the  same  target;  conduct  'Breaking  Free  from  Global  Warming! All  citizens  Campaign (tentative)' that aims to reduce greenhouse gas emissions by saving energy, etc., foster the values, and act in an environmentally-friendly way. Further, educate people and promote the meaning and necessity of, not only global warming countermeasures, but  also  the  smart  community  that  is  a  beneficial  system  for  regional  development  as  well  as  economic development.",## ◆ Cross-sectional measures,Umbrella initiative with numbered sub-actions.,Mitigation,False,direct,
sub,Cross-sectional measures,Conduct 'Breaking Free from Global Warming! All citizens Campaign (tentative)' to reduce greenhouse gas emissions by saving energy.,"conduct  'Breaking  Free  from  Global  Warming! All  citizens  Campaign (tentative)' that aims to reduce greenhouse gas emissions by saving energy, etc., foster the values, and act in an environmentally-friendly way.",## 1) Promotion of development of environmentally-friendly people and offices (Change of Values),Named campaign with explicit GHG reduction objective via energy saving.,Resource Efficiency,False,direct,Mitigation
sub,Cross-sectional measures,Promote and expand use of dispersed power systems in communities (including as emergency power sources during disasters) and build the foundation of a smart community.,"## 2) Promotion of large-scale introduction of innovative technology (Change of Action)

Promote  and  expand  the  use  of  the  dispersed  power  system  whose  energy  can  be  effectively  used  in  a community as well as an emergency power source at the time of disaster, and build the foundation of a smart community. ## 3) Promotion of development of low-carbon city (Change of Social System)

Promote  the  construction  of  a  sustainable  low-carbon  city  by  promoting  smart  community,  supporting innovation with new energies, e.g., hydrogen, etc., and promoting the building of a city with little effect on the environment.",## 2) Promotion of large-scale introduction of innovative technology (Change of Action),Specific technology/system intervention including explicit disaster/emergency power function.,Mitigation,False,direct,Adaptation
sub,Cross-sectional measures,"Promote construction of a sustainable low-carbon city by promoting smart communities and supporting innovation with new energies (e.g., hydrogen).","## 3) Promotion of development of low-carbon city (Change of Social System)

Promote  the  construction  of  a  sustainable  low-carbon  city  by  promoting  smart  community,  supporting innovation with new energies, e.g., hydrogen, etc., and promoting the building of a city with little effect on the environment. ## ◇ Key Performance Indicator (KPI)",## 3) Promotion of development of low-carbon city (Change of Social System),Explicit low-carbon city development and new energy innovation focus.,Mitigation,False,direct,
individual,,Introduce dispersed power in city facilities to 1 (cumulative) by FY2020 and 8 by FY2030.,"## ◇ Key Performance Indicator (KPI)

| Introduction no. of dispersed power in the city facilities (cumulative total) | 0 (FY2016)       |                     1 |                   8 |",## ◆ Cross-sectional measures,Quantified KPI for distributed power deployment.,Mitigation,False,direct,
individual,,Increase the number of smart communities (cumulative) to 3 by FY2020 and 10 by FY2030.,"## ◇ Key Performance Indicator (KPI)

| Introduction no. of smart communities (cumulative total)                      | 1 (FY2016)       |                     3 |                  10 |",## ◆ Cross-sectional measures,Quantified KPI for smart community adoption.,Mitigation,False,direct,
parent,,Promote a low-carbon city network through greater Hiroshima area measures and cooperation with domestic and international cities.,"## ◆ Promotion of low-carbon city network

## 1)

- Measures in greater Hiroshima city area We will share Hiroshima City's achievements with neighboring towns and consider a system to promote the introduction of eco-friendly energy. For example, we utilize the resources in the greater Hiroshima city area effectively, considering not only the circulation of energy in the area, but also the circulation of 'people, objects and money' so that it would have an effect on the whole city area cooperating with municipalities in the area, and plan measures to promote the introduction of the next generation energy such as woody biomass, small

hydroelectric generation and hydrogen, etc. - 2) Cooperation with domestic and international cities

Hiroshima City is an executive board member city of the Japan Bureau of 'ICLEI', an international network in which more than 1,500 municipalities participate",## ◆ Promotion of low-carbon city network,Umbrella initiative with numbered sub-actions.,Mitigation,False,direct,
