role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,secondary_category,is_financial_instrument,climate_relevance
parent,,RETROFIT BUILDINGS,"Chicago's residential, commercial, and industrial buildings account for nearly 69% of the City's carbon footprint. Reducing building energy use through efficiency will reduce the city's GHG emissions, save residents and businesses money, and improve the city's resiliency to climate shocks and stressors. Upgraded technologies that deliver reliable efficiency outcomes within reasonable payback periods are readily available, making scaled implementation of available technology a priority for the many buildings that have not yet undergone retrofits.",RETROFIT BUILDINGS,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Resource Efficiency,Mitigation,False,direct
sub,RETROFIT BUILDINGS,"Retrofit residential buildings with 4 or fewer units: 20% by 2030 and 50% by 2040, prioritizing low- or moderate-income households","GHG Impacts ◆◆◆ City Partners CHA, City Treasurer, DOB, DOH, DPD Smaller residential buildings, including the city's nearly 400,000 single-family homes and small multifamily properties, generated 14% of the city's total carbon emissions in 2017. These households can benefit from the same types of retrofits that apply to larger residential buildings. Bundling simple updates like weatherization, lighting, and appliance upgrades with the conversion of furnaces, boilers, and air conditioners to advanced heat pump technology makes it realistic to cut energy use in half, even with Chicago's hot summers and cold winters.",RETROFIT BUILDINGS,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,Mitigation,False,direct
sub,RETROFIT BUILDINGS,Retrofit 20% of total 5+ unit residential buildings by 2030,"This action will bring improved efficiency and living conditions to nearly 140,000 units in large multifamily buildings. Utility costs are among the largest operating expenses for multifamily buildings in Chicago, and this portion of Chicago's housing stock accounted for 12.9% of the city's total carbon footprint in 2017. Large savings from retrofits such as weatherization (insulation and air sealing), lighting and appliance upgrades, smart thermostat installations, and high-efficiency heating and cooling equipment are well-established, though paying for these improvements can be an obstacle for landlords.",RETROFIT BUILDINGS,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,,False,direct
sub,RETROFIT BUILDINGS,Retrofit 20% of total industrial buildings by 2030,"Industrial buildings use large amounts of energy for manufacturing and other processes, comprising 16.6% of the City's 2017 carbon footprint. The same energy-intensive industrial processes can also generate other types of air pollution that directly affect the health of local residents, illustrating the importance of the role retrofits can play in addressing both carbon and overall pollution. Unlike other building types, energy retrofits are often highly specific to each industrial facility and require careful analysis and engineering. !!!!",RETROFIT BUILDINGS,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,,False,direct
sub,RETROFIT BUILDINGS,Retrofit 90% of total city-owned and sister agency-owned buildings by 2035,"City and sister agency buildings include public schools, community centers, libraries, fire and police stations, offices, and other buildings that serve the public. Although they generated only 1% of the city's total carbon footprint in 2017, it is important for the City to lead by example and bring energy efficiency technology to its own facilities. This action will expand upon earlier investments in energy efficiency by the City and sister agencies, including the Retrofit One upgrades pursued in 60 buildings in 2018, and the complete replacement of all streetlights with LED technology.",RETROFIT BUILDINGS,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,,False,direct
sub,RETROFIT BUILDINGS,Retrofit 20% of total commercial buildings by 2035,"Commercial buildings include offices, restaurants, and stores. These facilities accounted for 23.5% of the city's carbon footprint in 2017, or nearly as much as residential buildings of all sizes. Through programs like Retrofit Chicago and utility incentive programs, many large commercial buildings have already benefited from energy efficiency investments.",RETROFIT BUILDINGS,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,,False,direct
parent,,CONNECT COMMUNITIES TO RENEWABLE ENERGY,Expanding innovative community ownership models for renewable energy projects on City property and utilizing state funding will help Chicago achieve 100% clean renewable energy community-wide by 2035. The City will support the development of renewable energy generation to bring the economic and pollution-reduction benefits of renewable energy to Chicago homes and businesses. Connection to renewable energy can increase community resiliency and decrease household energy costs.,CONNECT COMMUNITIES TO RENEWABLE ENERGY,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Mitigation,,True,direct
sub,CONNECT COMMUNITIES TO RENEWABLE ENERGY,Install 5 megawatts of co-owned community solar projects by 2025,"GHG Impacts ◆◇◇ City Partners AIS, CCC, CHA, CPS, DOB, DPD By 2025, 5 megawatts of co-owned community solar projects will be installed within city limits, prioritizing households with the highest energy burden. This amount of solar can power more than 1,100 Chicago homes each year. Community energy infrastructure owned by individual Chicagoan shareholders brings unique benefits, including protection from cost instability.",CONNECT COMMUNITIES TO RENEWABLE ENERGY,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,CONNECT COMMUNITIES TO RENEWABLE ENERGY,Increase Chicago-based community renewables to 20 megawatts by 2025,"By 2025, the City will increase Chicago-based community renewables to 20 megawatts. Expanding access to renewable energy for all Chicagoans starts by building energy infrastructure within the city limits. Community renewables provide all Chicagoans access to the benefits of renewable generation, including lower electric bills, even if they are unable to have an on-site solar system at their home or business.",CONNECT COMMUNITIES TO RENEWABLE ENERGY,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,indirect
sub,CONNECT COMMUNITIES TO RENEWABLE ENERGY,Increase community renewables subscriptions to achieve 25% subscribed by low-income and/ or environmental justice low-income residents by 2030,"By 2030, the City will increase community renewable subscriptions to achieve a 25% subscription rate by low-income and/or environmental justice low-income residents. Community renewable subscriptions allow residents to take advantage of reduced energy rates and clean energy without having to install or own a solar array on their property. This expands access to the benefits of solar to both renters and homeowners without suitable roofs for solar.",CONNECT COMMUNITIES TO RENEWABLE ENERGY,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,indirect
