location,metric,value
Austin_US,composite_score,0.6025
Austin_US,extraction_f1,0.567
Austin_US,extraction_precision,0.55
Austin_US,extraction_recall,0.5851
Austin_US,role_agreement,0.0108
Austin_US,parent_attribution_accuracy,1.0
Austin_US,primary_cat_agreement,0.7634
Austin_US,financial_instrument_agreement,0.8387
Austin_US,secondary_category_agreement,0.0
Austin_US,plus_one_coverage,0.5851
Austin_US,matched,93
Austin_US,unmatched_ext,7
Austin_US,unmatched_gt,1
Austin_US,Mitigation_score,0.3623
Austin_US,Mitigation_recall,0.5323
Austin_US,Mitigation_fpr,0.5192
Austin_US,Adaptation_score,0.6667
Austin_US,Adaptation_recall,0.6667
Austin_US,Adaptation_fpr,0.3333
Austin_US,Resource_Efficiency_score,0.5
Austin_US,Resource_Efficiency_recall,0.5
Austin_US,Resource_Efficiency_fpr,0.4783
Austin_US,Nature_Based_Solutions_score,0.75
Austin_US,Nature_Based_Solutions_recall,0.75
Austin_US,Nature_Based_Solutions_fpr,0.2632
Chicago_US,composite_score,0.7748
Chicago_US,extraction_f1,0.7361
Chicago_US,extraction_precision,0.6386
Chicago_US,extraction_recall,0.8689
Chicago_US,role_agreement,1.0
Chicago_US,parent_attribution_accuracy,0.9348
Chicago_US,primary_cat_agreement,0.6066
Chicago_US,financial_instrument_agreement,0.9016
Chicago_US,secondary_category_agreement,0.0
Chicago_US,plus_one_coverage,0.8689
Chicago_US,matched,61
Chicago_US,unmatched_ext,22
Chicago_US,unmatched_gt,0
Chicago_US,Mitigation_score,0.5179
Chicago_US,Mitigation_recall,0.8889
Chicago_US,Mitigation_fpr,0.4118
Chicago_US,Adaptation_score,0.4444
Chicago_US,Adaptation_recall,0.8
Chicago_US,Adaptation_fpr,0.3158
Chicago_US,Resource_Efficiency_score,-1.0
Chicago_US,Resource_Efficiency_recall,1.0
Chicago_US,Resource_Efficiency_fpr,0.2963
Chicago_US,Nature_Based_Solutions_score,-0.3333
Chicago_US,Nature_Based_Solutions_recall,1.0
Chicago_US,Nature_Based_Solutions_fpr,0.6667
Dakar_SN,composite_score,0.5786
Dakar_SN,extraction_f1,0.3333
Dakar_SN,extraction_precision,0.2027
Dakar_SN,extraction_recall,0.9375
Dakar_SN,role_agreement,0.4375
Dakar_SN,parent_attribution_accuracy,1.0
Dakar_SN,primary_cat_agreement,0.6875
Dakar_SN,financial_instrument_agreement,1.0
Dakar_SN,secondary_category_agreement,0.0
Dakar_SN,plus_one_coverage,0.9375
Dakar_SN,matched,16
Dakar_SN,unmatched_ext,58
Dakar_SN,unmatched_gt,0
Dakar_SN,Mitigation_score,-0.5385
Dakar_SN,Mitigation_recall,1.0
