iteration,location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category
2,Seattle_US,individual,,The City committed to upholding the pollution reduction targets in the Paris Climate Agreement.,"In 2017, when President Trump removed the U.S. from the Paris Climate Agreement, the City committed to upholding the pollution reduction targets in the Agreement.",CLIMATE ACTION STRATEGY,Explicit commitment to uphold Paris Agreement pollution reduction targets.,Mitigation,no,direct,
2,Seattle_US,individual,,The Mayor and City Council adopted a goal for the community to become carbon neutral by 2050 and directed creation of a plan to meet the goal (Resolution 31312).,"In 2011, the Mayor and City Council adopted a bold climate protection goal for our community to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312).",CLIMATE ACTION STRATEGY,Quantified long-term climate target with a directive to create a plan.,Mitigation,no,direct,
2,Seattle_US,individual,,City Council adopted Resolution 31757 affirming Seattle's commitment to the Paris Agreement goals and directing OSE to identify actions needed to limit warming to 1.5°C.,"the City Council adopted Resolution 31757, affirming Seattle's commitment to the goals established in the Paris Agreement, and directing the Office of Sustainability & Environment (OSE) to identify the actions necessary to do our part to limit warming to 1.5 degrees Celsius.",CLIMATE ACTION STRATEGY,Formal resolution affirming Paris goals and directing OSE to identify actions for 1.5°C.,Mitigation,no,direct,
2,Seattle_US,individual,,"The City will develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities.","Announce that the City will develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Commitment to develop and release a pricing strategy explicitly to reduce transportation emissions.,Mitigation,no,direct,
2,Seattle_US,individual,,The City will pass a new electric vehicle readiness ordinance in 2018 to ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Commitment to pass an ordinance requiring EV infrastructure readiness.,Mitigation,no,direct,
2,Seattle_US,individual,,The City will release a map of optimal distribution of charging infrastructure in 2018.,Release map of optimal distribution of charging infrastructure in 2018.,Multiple zoning incentives are available to catalyze development that is more efficient than code:,Time-bound commitment to release a charging network map.,Mitigation,no,direct,
2,Seattle_US,individual,,"The City will work with stakeholders to develop recommendations to make all new for-hire vehicles in Seattle electric, including determining a year after which all such vehicles must be electric and preparing to permit only electric vehicles for for-hire use.","The city will work with these stakeholders to create recommendations on how to electrify shared vehicle fleets, determine a year after which all such vehicles must be electric, and prepare for the City to begin permitting only electric vehicles for for-hire use.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Commitment to develop electrification recommendations and prepare permitting change.,Mitigation,no,direct,
2,Seattle_US,individual,,The City will create a new Green Fleet Action Plan by the end of 2018 to accelerate electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Time-bound commitment to create fleet electrification plan including fossil fuel phase-out.,Mitigation,no,direct,
2,Seattle_US,individual,,"The City will issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments, and direct OSE to define assessment scope and methods by October 2018.","Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments. The Mayor will direct the Office of Sustainability & Environment to work with departments to define the types of projects to assess, the assessment method, and how to account for the broader costs of carbon, by October 2018.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Authoritative mechanism (Executive Order) requiring GHG assessment; includes deadline.,Mitigation,no,direct,
2,Seattle_US,individual,,The City will adopt a tiered state residential energy code that can be adopted by cities and prioritize related state legislation in the 2019 legislative session.,Adopt a tiered state residential energy code that can be adopted by cities. Legislation to allow for tiered energy codes will be a priority for the City of Seattle in the 2019 legislative session.,Multiple zoning incentives are available to catalyze development that is more efficient than code:,Commitment to adopt/advance a tiered residential energy code via state legislative action.,Resource Efficiency,no,direct,
2,Seattle_US,individual,,"The City will create a 2030 Challenge pilot offering height and floor area incentives for up to 20 major renovations by 2025 in exchange for deep reductions in energy and water use, including no fossil fuels for heating.","Create pilot program offering additional height and floor area incentives for significant upgrades in energy and water use, and transportation efficiency. A new pilot will offer additional height and floor area incentives for up to 20 major renovations in urban centers outside the International District. Projects would receive the incentives in exchange for cutting energy and water use well below code, including no use of fossil fuels for heating.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Specific pilot with quantified cap and explicit fossil-fuel heating elimination in the description.,Mitigation,no,direct,Resource Efficiency
2,Seattle_US,individual,,"The City will provide programs and incentives to improve energy efficiency and reduce carbon emissions in commercial and multifamily buildings, backed by a minimum performance standard beginning in 2030.","Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Explicit incentives plus minimum performance standard starting in 2030.,Resource Efficiency,yes,direct,Mitigation
2,Seattle_US,individual,,Seattle City Light will scale Pay for Performance efforts and pilot Energy Efficiency as a Service (EEaS) in up to 30 buildings.,Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale. Seattle City Light will pilot Energy Efficiency as a Service (EEaS).,Multiple zoning incentives are available to catalyze development that is more efficient than code:,Utility program commitments with quantified pilot scale.,Resource Efficiency,yes,indirect,
2,Seattle_US,individual,,The City will double its budget allocation from 2021 to 2025 and set a target of a 40% energy and carbon emissions reduction in municipal buildings by 2025.,"Double existing budget allocation for reducing energy in municipal buildings from 2012-2015, with a goal of reducing energy use by 40 percent. The City will double its budget allocation from 2021 to 2025, and set a new target to achieve an overall 40 percent energy and carbon emissions reduction in municipal buildings by 2025.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Explicit budget increase tied to quantified 2025 energy and carbon reduction target.,Resource Efficiency,yes,direct,Mitigation
2,Seattle_US,individual,,"OSE will propose recommendations to the mayor to convert 18,000 homes from heating oil to electric heat pumps, including a financing plan and incentives.","OSE will propose recommendations to the mayor aimed at accelerating the transition of 18,000 homes from heating with oil to an electric heat pump. Recommendations will include a financing plan to support low-income residents, as well as a combination of public and private incentives to spur action.",Multiple zoning incentives are available to catalyze development that is more efficient than code:,Quantified conversion goal with explicit financing/incentives plan.,Mitigation,yes,direct,
2,Seattle_US,individual,,"Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings 20,000 sq ft or larger to track and annually report energy performance to the City.","Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City.",The overall approach to reducing GHG emissions has been to increase building efficiency and promote clean fuels through a coordinated strategy of:,Binding requirement (SMC) for benchmarking and annual reporting.,Resource Efficiency,no,direct,
