location,key,category,policy_id,grade,similarity,statement_match,role_match,category_match,reasoning
Austin_US,Mitigation::gt93_ext0_Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,Mitigation,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,1,1.0,True,False,True,"The extracted policy exactly matches the ground-truth policy in scope (community-wide greenhouse gas emissions), commitment (will achieve), and deadline (by 2040). No source excerpt is provided to further verify against the document text, but relative to the ground-truth this is a precise match."
Austin_US,Resource Efficiency::gt68_ext1_Create green jobs and entrepreneurship opportunities that advance the goals of t,Resource Efficiency,Create green jobs and entrepreneurship opportunities that advance the goals of t,0,0.6254,False,False,False,"The extracted policy is directionally aligned with the ground-truth on creating green jobs/entrepreneurship and prioritizing low-income communities and communities of color. However, it misses key specificity and mechanisms: there is no mention of a workforce development program, repair and reuse skills training, job placement, local circular businesses, or youth as a priority group. Commitment is also softened from a concrete program offering to broader opportunity language."
Austin_US,"Mitigation::gt57_ext2_Recognize and support existing community-led organizations, businesses, and prog",Mitigation,"Recognize and support existing community-led organizations, businesses, and prog",0,0.6081,False,False,True,"The extracted policy is directionally related because it emphasizes support for community-led organizations and programs, which overlaps with the ground-truth’s community-driven approach. However, it misses the core specificity and mechanism of the ground-truth: incentivizing and promoting affordable, culturally relevant prepared and retail food choices that are pro-climate and pro-health, as well as the explicit aim of minimizing displacement. The extracted policy is broader and less specific, with no concrete food-choice focus or displacement component."
Austin_US,"Mitigation::gt12_ext3_Create a Texas Climate Collaborative linking elected officials, City staff, and ",Mitigation,"Create a Texas Climate Collaborative linking elected officials, City staff, and ",-1,0.5764,False,False,True,"The extracted policy does not match the ground-truth policy. The ground truth is about developing City of Austin design/construction specifications and purchasing agreements for healthy, low-carbon buildings, in partnership with other cities and states. The extracted policy instead describes creating a Texas Climate Collaborative connecting officials and staff across several cities to implement climate plans. This is a different action, scope, and mechanism, with no overlap on the core commitment around building specifications or purchasing agreements."
Austin_US,Mitigation::gt4_ext4_Establish clear support and prioritization for local greenhouse gas reduction an,Mitigation,Establish clear support and prioritization for local greenhouse gas reduction an,-1,0.6111,False,False,True,"The extracted policy does not match the ground-truth policy’s core commitment or mechanism. The ground truth is about prioritizing local emissions reduction investment and creating equitable workforce development/training opportunities for emerging building technologies via partnerships serving low-income communities and communities of color. The extracted policy instead focuses on supporting local GHG reduction, carbon removal, and offsets, and omits the workforce development, equity, partnership, and building technology elements. It also introduces carbon dioxide removal and offsets, which are not present in the ground truth."
Chicago_US,Mitigation::gt1_ext1_Retrofit residential buildings with 4 or fewer units: 20% by 2030 and 50% by 204,Mitigation,Retrofit residential buildings with 4 or fewer units: 20% by 2030 and 50% by 204,1,0.8152,True,True,True,"The extracted policy matches the ground-truth closely and preserves the key quantified targets (20% by 2030, 50% by 2040), scope (residential buildings with 4 or fewer units), and prioritization of low- or moderate-income households. Although the source excerpt is not provided, relative to the ground-truth this is a precise match with no material loss of specificity or commitment."
Chicago_US,Mitigation::gt37_ext2_Retrofit 20% of total 5+ unit residential buildings by 2030.,Mitigation,Retrofit 20% of total 5+ unit residential buildings by 2030.,-1,0.637,False,True,True,"The extracted policy does not match the ground-truth on scope, target, timeline, or mechanism. Ground truth is electrifying 30% of all existing residential buildings by 2035. The extraction instead states retrofitting 20% of 5+ unit residential buildings by 2030. This changes the action (electrify vs retrofit), narrows the covered building stock (all existing residential vs only 5+ unit buildings), lowers the target (30% vs 20%), and changes the deadline (2035 vs 2030). With no source excerpt provided to justify the variation, this is a non-match."
Chicago_US,Mitigation::gt2_ext3_Retrofit 20% of total industrial buildings by 2030.,Mitigation,Retrofit 20% of total industrial buildings by 2030.,1,0.8141,True,True,True,"The extracted policy matches the ground-truth exactly in target, scope, and deadline: retrofit 20% of total industrial buildings by 2030. Although the source document excerpt is not provided, relative to the ground-truth this is a precise and accurate match with no material omission."
Chicago_US,Mitigation::gt3_ext4_Retrofit 90% of total City-owned and sister agency-owned buildings by 2035.,Mitigation,Retrofit 90% of total City-owned and sister agency-owned buildings by 2035.,1,0.8347,True,True,True,"The extracted policy matches the ground-truth exactly in scope, target, and deadline: retrofit 90% of total city-owned and sister agency-owned buildings by 2035. Although the source excerpt is not provided, relative to the ground-truth this is a precise and accurate match with no loss of specificity or commitment."
Chicago_US,Mitigation::gt5_ext6_Install 5 megawatts of co-owned community solar projects by 2025.,Mitigation,Install 5 megawatts of co-owned community solar projects by 2025.,1,0.7977,True,True,True,"The extracted policy matches the ground-truth exactly in the core commitment, target, and deadline: installation of 5 megawatts of co-owned community solar projects by 2025. It omits 'Chicago will,' but that does not change the substantive policy content."
Chicago_US,Mitigation::gt6_ext7_Increase Chicago-based community renewables to 20 megawatts by 2025.,Mitigation,Increase Chicago-based community renewables to 20 megawatts by 2025.,1,0.9373,True,True,True,"The extracted policy matches the ground-truth exactly in scope, quantified target, and deadline: increasing Chicago-based community renewables to 20 megawatts by 2025. Commitment strength is preserved, with no material omission or contradiction."
Chicago_US,Mitigation::gt7_ext8_Increase community renewables subscriptions to achieve 25% subscribed by low-inc,Mitigation,Increase community renewables subscriptions to achieve 25% subscribed by low-inc,1,0.8201,True,True,True,"The extracted policy matches the ground-truth closely in scope, target, population, and deadline: it specifies increasing community renewables subscriptions so that 25% are subscribed by low-income and/or environmental justice low-income residents by 2030. Commitment strength is effectively equivalent, with no material loss of specificity or mechanism relative to the ground-truth."
Chicago_US,Mitigation::gt9_ext10_Introduce community-wide organic waste collection and decomposition by 2025.,Mitigation,Introduce community-wide organic waste collection and decomposition by 2025.,1,0.8141,True,True,False,"The extracted policy matches the ground-truth exactly in scope, action, and deadline: it specifies community-wide organic waste collection and decomposition, with implementation by 2025. There is no contradiction or loss of specificity. Although the source excerpt is not provided, relative to the ground-truth this is an exact match."
