city,cluster_type,role,section_header,policy_statement,parent_statement,parent_row_type,verbatim_text,extraction_rationale,canonical_mechanism,mechanism_description,secondary_categories,is_financial_instrument,primary_category,climate_relevance
Chicago,parent_with_subs,parent,Pillar 1 | Strategy 1. Retrofit buildings,Strategy 1 (Pillar 1): Retrofit buildings.,,structural header,"1 Increase access to utility savings and renewable energy, prioritizing households | 1. Retrofit buildings | Action",Named strategy with multiple lettered actions (A–E) beneath it.,building_retrofit → energy_use_reduction,"Implementing building retrofits upgrades building components and systems, lowering energy demand and associated emissions.",Resource Efficiency,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,"Retrofit residential buildings with 4 or fewer units: retrofit 20% by 2030 and 50% by 2040, prioritizing low- or moderate-income households.",Strategy 1 (Pillar 1): Retrofit buildings.,structural header,"A. Retrofit residential buildings with 4 or fewer units:20% by 2030 and 50%by2040, prioritizing low- or moder- ate-income households",Quantified retrofit targets with deadlines; explicitly listed as Action A under the strategy.,building_retrofit → energy_use_reduction,"Retrofit upgrades to residential buildings reduce building energy consumption, lowering associated greenhouse gas emissions.",Resource Efficiency,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Retrofit 20% of total 5+ unit residential buildings by 2030.,Strategy 1 (Pillar 1): Retrofit buildings.,structural header,B. Retrofit 20%of total 5+ unit residential buildings by 2030,Quantified target and deadline listed as an action under the retrofit strategy.,building_retrofit → energy_use_reduction,"Retrofits to multi-unit residential buildings improve building systems/envelopes, reducing energy use and associated emissions.",Resource Efficiency,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Retrofit 20% of total industrial buildings by 2030.,Strategy 1 (Pillar 1): Retrofit buildings.,structural header,C. Retrofit 20%of total industrial buildings by 2030,Quantified target and deadline listed as an action under the retrofit strategy.,building_retrofit → energy_use_reduction,"Retrofitting industrial buildings upgrades equipment and/or building systems, lowering energy demand and thereby reducing emissions from energy use.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 1 | Strategy 1. Retrofit buildings,Retrofit 90% of total City-owned and sister agency-owned buildings by 2035.,Strategy 1 (Pillar 1): Retrofit buildings.,structural header,D. Retrofit90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035,Quantified target and deadline listed as an action under the retrofit strategy.,building_retrofit → energy_use_reduction,"Retrofit existing buildings to cut their energy consumption, which reduces associated greenhouse gas emissions from building energy use.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,parent,Pillar 1 | Strategy 2. Connect communities to renewable energy,Strategy 2 (Pillar 1): Connect communities to renewable energy.,,structural header,"1 Increase access to utility savings and renewable energy, prioritizing households | 2. Connect communities to renewable energy | Action",Named strategy with multiple lettered actions (A–C) beneath it.,renewable_energy_access_program → fossil_generation_displacement,"Programs that connect communities—especially prioritized households—to renewable electricity increase clean power consumption and displace fossil generation, lowering power-sector emissions.",Resource Efficiency,yes,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 1 | Strategy 2. Connect communities to renewable energy,Install 5 megawatts of co-owned community solar projects by 2025.,Strategy 2 (Pillar 1): Connect communities to renewable energy.,structural header,A. Install 5 megawatts of co-owned community solar proj- ects by 2025,Quantified renewable energy deployment target with deadline; listed as Action A.,solar_pv_deployment → fossil_generation_displacement,"Deploying community solar PV increases renewable electricity supply and displaces fossil-fueled generation, reducing power-sector emissions.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 1 | Strategy 2. Connect communities to renewable energy,Increase Chicago-based community renewables to 20 megawatts by 2025.,Strategy 2 (Pillar 1): Connect communities to renewable energy.,structural header,B. Increase Chicago-based community renewables to 20 megawatts by 2025,Quantified capacity target with deadline; listed as Action B.,renewable_energy_target → grid_decarbonization,"Expanding community renewable energy capacity increases clean electricity supply, which displaces fossil generation and lowers grid emissions.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 1 | Strategy 2. Connect communities to renewable energy,Increase community renewables subscriptions so that low-income and/or environmental justice low-income residents achieve 25% subscribed by 2030.,Strategy 2 (Pillar 1): Connect communities to renewable energy.,structural header,C. Increase community renewables subscriptions to achieve 25%subscribed by low-income and/or environ- mental justice low-income residents by 2030,Quantified subscription target and deadline; specified beneficiary group; listed as Action C.,community_renewables_subscription_expansion → fossil_generation_displacement,"Expanding community renewables subscriptions increases renewable electricity use, which displaces fossil-generated power and reduces greenhouse gas emissions from electricity supply.",,no,Mitigation,direct
Chicago,parent_with_subs,parent,Pillar 2 | Strategy 1. Reduce waste and landfilling,Strategy 1 (Pillar 2): Reduce waste and landfilling.,,structural header,2 Build circular economies to create jobs and reduce waste | 1. Reduce waste and landfilling | Action,Named strategy with multiple lettered actions (A–F) beneath it.,waste_diversion → landfill_methane_avoidance,"Reducing waste generation and landfilling increases diversion from landfill, which lowers methane emissions associated with landfilled waste.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Introduce community-wide organic waste collection and decomposition by 2025.,Strategy 1 (Pillar 2): Reduce waste and landfilling.,structural header,A. Introduce community-wide organic waste collection and decomposition by 2025,Specific intervention with deadline; listed as Action A.,organic_waste_composting → landfill_methane_avoidance_and_nutrient_recovery,"Collecting and processing organic waste through controlled decomposition diverts it from landfills, reducing methane emissions while producing compost or other nutrient-rich outputs.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Implement equitable waste source prevention strategies by 2030.,Strategy 1 (Pillar 2): Reduce waste and landfilling.,structural header,B. Implement equitable waste source prevention strategies by 2030,Time-bound commitment to implement prevention strategies; listed as Action B.,waste_source_reduction_program → landfill_methane_avoidance,"Preventing waste at the source reduces the volume of waste sent to landfill, avoiding landfill methane emissions and related disposal emissions.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,"Divert 90% of commercial, industrial, and institutional waste by 2030.",Strategy 1 (Pillar 2): Reduce waste and landfilling.,structural header,"C. Divert 90%ofcommercial, industrial, and institutional waste by 2030",Quantified diversion target with deadline; listed as Action C.,waste_diversion → landfill_methane_avoidance,"Increasing diversion of commercial, industrial, and institutional waste reduces the amount of waste landfilled, avoiding methane emissions from landfill decomposition.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Divert 75% of construction and demolition waste by 2030.,Strategy 1 (Pillar 2): Reduce waste and landfilling.,structural header,D. Divert 75%of construction and demolition waste by 2030,Quantified diversion target with deadline; listed as Action D.,waste_diversion → landfill_methane_avoidance,"Diverting construction and demolition waste from landfills reduces methane generation from landfilled waste, lowering greenhouse gas emissions.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Enable building design for disassembly and reuse by 2035.,Strategy 1 (Pillar 2): Reduce waste and landfilling.,structural header,E. Enable building design for disassembly and reuse by 2035,Specific intervention with deadline; listed as Action E.,design_for_disassembly_and_reuse → embodied_emissions_reduction,"Designing buildings for disassembly enables material reuse and reduces new material production, lowering embodied greenhouse gas emissions from construction.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 2 | Strategy 1. Reduce waste and landfilling,Divert 90% of residential waste by 2040.,Strategy 1 (Pillar 2): Reduce waste and landfilling.,structural header,F. Divert 90%ofresidential waste by 2040,Quantified diversion target with deadline; listed as Action F.,waste_diversion → landfill_methane_avoidance,"Increasing diversion of residential waste from landfills reduces methane-producing decomposition in landfills, avoiding landfill methane emissions.",,no,Mitigation,direct
Chicago,parent_with_subs,parent,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips","Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips.",,standalone parent policy,"1. Makewalking, biking, or transit viable options for all trips",Named strategy with multiple actions (A–C) beneath it.,modal_shift_to_sustainable_transport → transport_emissions_reduction,"Improving walking, biking, and transit options shifts trips from cars to lower-carbon modes, reducing transportation greenhouse gas emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",Expand high-quality and low-stress on-street bikeways and off-street trails.,"Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips.",standalone parent policy,A. Expand high-quality and low-stress on-street bikeways and off-street trails,"Concrete infrastructure expansion action (even though not quantified in the table row, it is a specific intervention).",modal_shift_to_sustainable_transport → transport_emissions_reduction,"Building out bike and trail infrastructure shifts trips from private vehicles to cycling, lowering transport-related greenhouse gas emissions.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips",Increase Divvy bikes and shared micromobility trips 30% by 2030.,"Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips.",standalone parent policy,B. Increase Divvy bikes and shared micromobility trips30% by 2030,Quantified target with deadline; listed as Action B.,shared_micromobility_expansion → transport_emissions_reduction,"Expanding shared micromobility use shifts some trips away from higher-emitting travel modes, reducing overall transportation greenhouse gas emissions.",Adaptation,no,Mitigation,direct
Chicago,parent_with_subs,sub,"Pillar 3 | Strategy 1. Make walking, biking, or transit viable options for all trips","Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45% of all trips by 2040.","Strategy 1 (Pillar 3): Make walking, biking, or transit viable options for all trips.",standalone parent policy,"C. Enable Chicagoans to walk, bike, take transit, or use shared micromobility for 45%ofall trips by 2040",Quantified mode-share target with deadline; listed as Action C.,modal_shift_to_sustainable_transport → transport_emissions_reduction,"Increase the share of trips made by active modes, transit, and shared micromobility to reduce car travel and lower transportation greenhouse gas emissions.",Nature-Based Solutions,no,Mitigation,direct
Chicago,parent_with_subs,parent,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,,structural header,2. Increase transit performance and encourage equitable transit-oriented development,Named strategy with multiple actions (A–D and additional action E in text) beneath it.,transit_oriented_development → transport_emissions_and_land_use_reduction,"Promoting development concentrated near high-performing transit reduces car dependence and vehicle miles traveled, lowering transport emissions and associated land-use impacts.",,no,Mitigation,direct
Chicago,parent_with_subs,sub,Pillar 3 | Strategy 2. Increase transit performance and encourage equitable transit-oriented development,"Update land use policies to encourage sustainable development, accessibility, and street safety by 2023.",Strategy 2 (Pillar 3): Increase transit performance and encourage equitable transit-oriented development.,structural header,"A. Update land use policies to encourage sustainable devel- opment, accessibility, and street safety by 2023",Time-bound policy update commitment; listed as Action A.,land_use_policy_update_for_sustainable_development → transport_emissions_and_land_use_reduction,"Updating land use policies steers urban development toward more accessible, safer, and compact patterns that reduce car dependence and associated emissions.",,no,Mitigation,indirect
