location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale
Austin_US,individual,,Achieve net-zero community-wide greenhouse gas emissions by 2040.,"Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.

Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.",NEW EMISSIONS GOAL FOR AUSTIN,"This is a quantified, time-bound community-wide GHG target (net-zero by 2040), which is a core climate mitigation policy goal."
Austin_US,individual,,Form an Environmental Justice Committee to provide formal funding and implementation support for the plan.,"To offer formal funding and implementation support for the plan, we recommend that the City Council form an Environmental Justice Committee so that these actions receive proper attention and care. Given that the Joint Sustainability Committee was initially formed to push City climate change initiatives, we also recommend reimagining how this committee can help flesh out the implementation of this plan and realize our equity values.",A LETTER FROM THE STEERING COMMITTEE,This is a specific governance/implementation commitment recommendation (committee formation) tied to climate plan implementation; it is not a vague aspiration.
Austin_US,parent,,Overarching Strategy 1: Green jobs and entrepreneurship.,"## Strategy 1: Green jobs and entrepreneurship

Create green jobs and entrepreneurship opportunities that advance the goals of this plan, expand economic opportunity and inclusion, and build agency and decision-making power in low-income communities and communities of color.",III. OVERARCHING STRATEGIES,"This is a named overarching strategy with multiple concrete sub-actions listed under “How we’ll get there,” making it an umbrella policy initiative."
Austin_US,sub,Overarching Strategy 1: Green jobs and entrepreneurship,Create a skill-up training program to educate a workforce (focused on low-income communities and communities of color) to install and maintain green technologies and solutions.,"Ensure an adequately educated workforce to install and maintain new and existing green technologies and solutions through a skill-up training program specifically focused on low-
- income communities and communities of color. This may include green infrastructure, solar installation, renewable natural gas and hydrogen processing, water reuse or innovative mechanical systems, EV charging station installation, design and repair to reduce waste, urban agriculture, beautification, placemaking, etc.",III. OVERARCHING STRATEGIES,"This is a specific intervention (training program) with a defined target population and purpose, qualifying as a policy action under a parent strategy."
Austin_US,sub,Overarching Strategy 1: Green jobs and entrepreneurship,Ensure permanent living-wage career pathways (not temporary jobs) and include accessibility supports such as childcare and inclusion of formerly incarcerated people.,Ensure permanent career pathways that pay a living wage rather than temporary jobs. Include considerations for people who were formerly incarcerated and childcare services to ensure accessibility for working parents.,III. OVERARCHING STRATEGIES,This is a concrete workforce policy design commitment (living wage pathways and accessibility provisions) under the green jobs strategy.
Austin_US,sub,Overarching Strategy 1: Green jobs and entrepreneurship,Recruit from local communities of color to ensure diverse and equitable participation across green jobs sectors.,"Recruit from local communities of color to ensure diverse and equitable participation in all levels of green jobs sectors.

Invest in local green businesses and target financial support for small businesses owned by people of color.",III. OVERARCHING STRATEGIES,This is a specific recruitment commitment aimed at equitable participation; it is an actionable programmatic direction.
Austin_US,sub,Overarching Strategy 1: Green jobs and entrepreneurship,Invest in local green businesses and target financial support for small businesses owned by people of color.,"Invest in local green businesses and target financial support for small businesses owned by people of color.

Develop initiatives and programs to support and grow a network of entrepreneurs and executives of color.",III. OVERARCHING STRATEGIES,"This commits to targeted financial support (a funding/investment instrument) for green businesses, which is a policy lever."
Austin_US,sub,Overarching Strategy 1: Green jobs and entrepreneurship,Build upon the Austin Civilian Conservation Corps initiative to recruit and train economically disadvantaged community members via nonprofit partnerships.,Build upon the recent Austin Civilian Conservation Corps initiative to foster partnerships with nonprofit organizations to recruit and train economically disadvantaged community members.,III. OVERARCHING STRATEGIES,This is a specific program expansion commitment (building upon an existing initiative) with a defined mechanism (nonprofit partnerships).
Austin_US,parent,,Overarching Strategy 2: Prioritize local community initiatives.,"## Strategy 2: Prioritize local community initiatives

Recognize and support existing community-led organizations, businesses, and programs that can help achieve the goals in this plan while building a green and just economy and culture.",III. OVERARCHING STRATEGIES,This is a named overarching strategy (umbrella initiative) describing support for community-led programs; it functions as a policy direction across sectors.
Austin_US,parent,,Overarching Strategy 3: Regional collaboration (Texas Climate Collaborative).,"## Strategy 3: Regional collaboration

Create a Texas Climate Collaborative linking elected officials, City staff, and utility staff working to implement recently adopted climate plans in San Antonio, Houston, Dallas, and Austin.",III. OVERARCHING STRATEGIES,This is a named initiative to create a collaborative body; it is a concrete institutional action rather than background.
