role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category,is_actionable,validation_confidence,validation_reasoning
parent,,Reduce heat hazards with green infrastructure through an urban forestry program including code changes and canopy expansion.,"Due to notable increases in the urban heat island effect, steps must be taken to reduce heat hazards with appropriate green infrastructure, including:

- LVMC and zoning amendments for trees
- At least 100,000 public and private high quality, native and adaptive trees that increase the canopy are planted to increase the canopy to 20%",## URBAN FORESTRY,This is a clear parent policy because it introduces a named initiative and then lists sub-actions beneath it. It directly addresses heat hazards using ecological infrastructure.,Nature-Based Solutions,no,direct,Adaptation,True,0.94,"- The source specifies a binding mechanism: “LVMC and zoning amendments for trees,” indicating ordinance/regulatory changes.
- It sets quantifiable targets: “At least 100,000 … trees … are planted” and a measurable outcome “increase the canopy to 20%.”
- These provide clear, actionable deliverables tied to reducing heat hazards via green infrastructure, satisfying multiple VALID criteria (quantifiable target and binding mechanism)."
sub,Reduce heat hazards with appropriate green infrastructure through urban forestry,Amend the Las Vegas Municipal Code and zoning to require or support trees.,"Due to notable increases in the urban heat island effect, steps must be taken to reduce heat hazards with appropriate green infrastructure, including:

- LVMC and zoning amendments for trees
- At least 100,000 public and private high quality, native and adaptive trees that increase the canopy are planted to increase the canopy to 20%",## URBAN FORESTRY,This is a binding regulatory mechanism under the urban forestry initiative. It qualifies because it names a code and zoning amendment tied to a climate hazard response.,Nature-Based Solutions,no,direct,Adaptation,True,0.8,"- The source explicitly lists “LVMC and zoning amendments for trees,” which directly matches the policy statement to “Amend the Las Vegas Municipal Code and zoning to require or support trees.” This is a specific named intervention with a clear deliverable: enact amendments to the municipal code and zoning.
- Such amendments constitute a binding regulatory mechanism once adopted (laws/ordinances), satisfying the criterion for a binding mechanism.
- The same initiative also includes quantifiable outcomes (“At least 100,000… trees… to increase the canopy to 20%”), providing measurable context that strengthens actionability, even though the policy statement itself focuses on the legal change."
sub,Reduce heat hazards with appropriate green infrastructure through urban forestry,"Plant at least 100,000 public and private native and adaptive trees to raise canopy cover to 20%.","Due to notable increases in the urban heat island effect, steps must be taken to reduce heat hazards with appropriate green infrastructure, including:

- LVMC and zoning amendments for trees
- At least 100,000 public and private high quality, native and adaptive trees that increase the canopy are planted to increase the canopy to 20%",## URBAN FORESTRY,"This is a quantifiable, climate-specific target with a named ecological intervention and explicit canopy outcome. It directly responds to urban heat island impacts.",Nature-Based Solutions,no,direct,Adaptation,True,0.92,"- The source explicitly sets a numeric deliverable: “At least 100,000 public and private high quality, native and adaptive trees … are planted,” which is a quantifiable target.
- It also specifies the intended outcome metric: “increase the canopy to 20%,” providing a measurable end-state.
- The intervention is concrete and named: planting native/adaptive trees (a clear ecological action).
- Additionally, it references “LVMC and zoning amendments for trees,” indicating a potential regulatory mechanism to support implementation.
- These elements satisfy VALID criteria: quantifiable targets and a specific intervention, with an implied binding mechanism via zoning amendments."
parent,,"Expand park planning, acreage, and access across the city.","Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will

- Develop  a  Parks  System  Plan  and  achieve  CAPRA certification
- Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need",## PARKS AND CONNECTIVITY,"This is a parent initiative with listed sub-actions and quantifiable targets. Climate relevance is indirect because parks can support resilience and greening, but the excerpt frames the policy mainly around quality of life and access rather than explicit climate outcomes.",Nature-Based Solutions,no,indirect,,True,0.9,"- The source sets a clear, quantifiable target: “Increase park acreage to 7 acres per 1,000 residents,” which includes a numeric value, unit (acres per 1,000 residents), and is directly measurable.
- It also names specific deliverables: “Develop a Parks System Plan” and “achieve CAPRA certification,” which are concrete actions with verifiable completion.
- These elements satisfy the VALID criteria: (1) quantifiable target and (3) specific named interventions with clear deliverables, making the policy actionable rather than vague."
sub,"Expand park planning, acreage, and access",Develop a Parks System Plan and achieve CAPRA certification.,"Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will

- Develop  a  Parks  System  Plan  and  achieve  CAPRA certification
- Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need",## PARKS AND CONNECTIVITY,"This is a named planning intervention with a specific certification goal. It qualifies as policy, though the climate connection is indirect in this text.",Nature-Based Solutions,no,indirect,,True,0.8,"- The source explicitly lists: ""- Develop a Parks System Plan and achieve CAPRA certification,"" matching the policy statement verbatim.
- ""Achieve CAPRA certification"" is a specific, externally recognized accreditation (Council for Accreditation of Parks and Recreation Agencies), providing a clear, binary deliverable that is objectively verifiable.
- ""Develop a Parks System Plan"" also yields a concrete product (a plan), though without a timeline. Even so, the certification component satisfies the criterion of a specific named intervention with a clear deliverable.
- While no deadlines or resource allocations are provided, the measurable certification outcome is sufficient to meet the VALID threshold."
sub,"Expand park planning, acreage, and access","Increase park acreage to 7 acres per 1,000 residents, especially in areas of need.","Because parks and recreational facilities are an important quality of life component, park facilities, amenities, connections, and safety were frequently noted throughout public outreach. As a result, the City will

- Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need
- Ensure 85% of dwelling units are within a short walk of a park or trail",## PARKS AND CONNECTIVITY,This is a quantified target and therefore clearly qualifies as policy. Climate relevance remains indirect because the passage emphasizes recreation and quality of life rather than explicit climate adaptation.,Nature-Based Solutions,no,indirect,,True,0.88,"- The source explicitly states: ""Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need.""
- This sets a quantifiable target (7 acres per 1,000 residents), satisfying criterion 1 (quantifiable target) for a VALID policy.
- The action is concrete and measurable: increasing park acreage until the specified ratio is met, which also implies a clear deliverable (added parkland).
- While no deadline or binding mechanism is provided, the presence of a clear numeric standard is sufficient for validity under the provided rules."
sub,"Expand park planning, acreage, and access",Ensure 85% of dwelling units are within a short walk of a park or trail.,"As a result, the City will

- Increase park acreage to 7 acres per 1,000 residents, specifically in noted areas of need
- Ensure 85% of dwelling units are within a short walk of a park or trail

",## PARKS AND CONNECTIVITY,This is a quantified access target under the parks initiative. It is climate-relevant only indirectly through open space provision and connectivity.,Nature-Based Solutions,no,indirect,,True,0.78,"- The source quote explicitly states: ""Ensure 85% of dwelling units are within a short walk of a park or trail.""
- This sets a quantifiable coverage target (85% of dwelling units) tied to an outcome (proximity/access to parks or trails).
- While ""short walk"" and a deadline are not defined, the numeric threshold satisfies the criterion of including a quantifiable target."
parent,,Improve food system resilience and urban agriculture access to address food access and supply chain security.,"Given  the  lack  of  regional  agriculture,  it  is  necessary to ensure supply chain security and redundancy. To supplement these efforts, the City must ensure:

- No food deserts and reduce food swamps by increasing healthy food access
- Provide accessibility to community gardens and increase allowable small agricultural uses",## FOOD AND URBAN AGRICULTURE,"This is a parent initiative with clear sub-actions. It relates to resilience through supply chain security, but its climate connection is somewhat indirect because climate is not explicitly named in the section.",Adaptation,no,indirect,Nature-Based Solutions,True,0.74,"- The source sets a measurable outcome: ""No food deserts,"" which is a quantifiable target (zero food deserts), satisfying the quantifiable target criterion.
- It also names specific interventions: ""Provide accessibility to community gardens"" and ""increase allowable small agricultural uses,"" which indicate concrete actions (expanding access and adjusting allowable uses, likely via zoning/ordinance updates).
- While there is no deadline or explicit resource commitment, the presence of a clear zero-target and identified interventions makes the policy actionable in at least one strong dimension."
sub,Improve food system resilience and urban agriculture access,Eliminate food deserts and reduce food swamps by increasing healthy food access.,"Given  the  lack  of  regional  agriculture,  it  is  necessary to ensure supply chain security and redundancy. To supplement these efforts, the City must ensure:

- No food deserts and reduce food swamps by increasing healthy food access
- Provide accessibility to community gardens and increase allowable small agricultural uses",## FOOD AND URBAN AGRICULTURE,"This is a concrete policy target under the food and urban agriculture initiative. It supports resilience, though the climate linkage is indirect rather than explicit.",Adaptation,no,indirect,,True,0.74,"- The source explicitly states: “No food deserts and reduce food swamps by increasing healthy food access.”
- “No food deserts” constitutes a clear, measurable target: eliminate all food deserts (i.e., target = zero areas classified as food deserts), which satisfies the quantifiable target criterion.
- While “reduce food swamps” and “increasing healthy food access” are directionally stated without a quantified magnitude, timeline, binding mechanism, or specific intervention, the presence of the absolute target “No food deserts” provides a concrete, measurable outcome.
- Therefore, despite some vagueness in secondary elements, the policy meets the VALID threshold via a quantifiable target."
sub,Improve food system resilience and urban agriculture access,Expand access to community gardens and allow more small agricultural uses.,"Given  the  lack  of  regional  agriculture,  it  is  necessary to ensure supply chain security and redundancy. To supplement these efforts, the City must ensure:

- No food deserts and reduce food swamps by increasing healthy food access
- Provide accessibility to community gardens and increase allowable small agricultural uses",## FOOD AND URBAN AGRICULTURE,"This is a specific intervention naming community gardens and land-use allowance changes. It qualifies as policy and includes an explicit ecological mechanism, but climate relevance is indirect.",Nature-Based Solutions,no,indirect,,True,0.73,"- The source states: “Provide accessibility to community gardens and increase allowable small agricultural uses.”
- This names two concrete interventions:
  1) Expand access to community gardens (a programmatic deliverable that can be implemented and verified by creating/opening gardens or changing access policies), and
  2) Increase allowable small agricultural uses (a regulatory/zoning change that can be delivered via code amendments).
- While no numeric targets or deadlines are given, these constitute specific interventions with clear deliverables (criterion 3), making the policy actionable and measurable by completion (e.g., adoption of code changes, number of gardens made accessible)."
