location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
Austin_US,individual,,Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.,"Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.

Austin will achieve net-zero community-wide greenhouse gas emissions by 2040.",NEW EMISSIONS GOAL FOR AUSTIN,"This is a clear, quantified citywide emissions target with a deadline, making it a core climate policy commitment.",Mitigation,False,direct,
Austin_US,individual,,Create green jobs and entrepreneurship opportunities tied to plan goals and targeted to low-income communities and communities of color.,"Create green jobs and entrepreneurship opportunities that advance the goals of this plan, expand economic opportunity and inclusion, and build agency and decision-making power in low-income communities and communities of color.",OVERARCHING STRATEGIES,"This is a named intervention with a specific implementation direction, though not quantified. It qualifies as a policy because it establishes a programmatic commitment.",Mitigation,False,indirect,
Austin_US,individual,,"Recognize and support existing community-led organizations, businesses, and programs that help achieve plan goals and build a green and just economy.","Recognize and support existing community-led organizations, businesses, and programs that can help achieve the goals in this plan while building a green and just economy and culture.",OVERARCHING STRATEGIES,This is a named overarching strategy directing support for community-led initiatives. It is somewhat broad but still a concrete programmatic commitment.,Mitigation,False,indirect,
Austin_US,individual,,"Create a Texas Climate Collaborative linking cities, counties, elected officials, and utility staff to implement climate plans and coordinate policy change.","Create a Texas Climate Collaborative linking elected officials, City staff, and utility staff working to implement recently adopted climate plans in San Antonio, Houston, Dallas, and Austin. Work with cities across the state and neighboring cities, such as Round Rock, Cedar Park, Buda, Pflugerville, San Marcos, and Kyle, and the five-county governments: Travis, Williamson, Hays, Bastrop, and Caldwell.",OVERARCHING STRATEGIES,"This is a specific named collaborative initiative with defined participants and purpose, qualifying as a policy commitment.",Mitigation,False,direct,
Austin_US,parent,,"Establish support and prioritization for local greenhouse gas reduction projects, carbon dioxide removal, and carbon offsets when necessary.","Establish clear support and prioritization for local greenhouse gas reduction and carbon removal projects, carbon dioxide removal, and carbon offsets when necessary.",OVERARCHING STRATEGIES,"This is a named umbrella strategy with explicit prioritization rules listed beneath it, so it is a parent policy.",Mitigation,False,direct,
Austin_US,sub,"Local carbon reduction projects, carbon dioxide removal, and carbon offsets",Prioritize reducing local emissions by investing in local carbon reduction projects in Austin that avoid direct emissions and create local equity benefits.,"1. Reduce local emissions following the goals set in this plan by investing in local carbon reduction projects in Austin that avoid direct emissions, focusing on creating local equity benefits and a vibrant collaboration between the community and the City.","Prioritizing local projects, removal, and carbon offsets:",This numbered item is a specific implementation priority under the parent carbon reduction strategy.,Mitigation,True,direct,
Austin_US,sub,"Local carbon reduction projects, carbon dioxide removal, and carbon offsets",Support carbon dioxide removal projects in the Austin-Round Rock-San Marcos area to maximize CO2 sequestration.,2. Support carbon dioxide removal projects in the Austin-Round Rock-San Marcos area to sequester as much CO2 as possible.,"Prioritizing local projects, removal, and carbon offsets:",This is a discrete sub-action under the parent strategy focused on carbon removal.,Mitigation,False,direct,
Austin_US,sub,"Local carbon reduction projects, carbon dioxide removal, and carbon offsets","Allow carbon offsets only when needed to meet annual goals, capped at no more than 10% of the baseline and prioritized toward nearby projects with equity benefits and negative emissions.","3. If annual community-wide emissions minus carbon dioxide removal is greater than the stated goal, carbon offsets can be applied to reach a goal. For any given year, carbon offsets should constitute no more than 10% of the baseline. This 10% should be reserved for sectors where emission reductions are cost-prohibitive or impossible to reduce with existing technology.","Prioritizing local projects, removal, and carbon offsets:","This is a concrete rule governing offset use, including a quantitative cap, so it qualifies as a policy sub-action.",Mitigation,True,direct,
Austin_US,individual,,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions from existing buildings by 25%, and lower natural gas-related emissions by 30%.","By 2030, achieve net-zero carbon* for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.

* For this goal, net-zero carbon implies operational carbon, which refers to the CO 2 emitted from operations, such as lighting and heating, during the in-use phase of a building.",SUSTAINABLE BUILDINGS,"This is a quantified 2030 target for building decarbonization and natural gas emissions reduction, clearly qualifying as a climate policy.",Mitigation,False,direct,Resource Efficiency
Austin_US,individual,,"Pursue a comprehensive energy poverty mitigation strategy to ensure building repair, conservation, and renewable energy benefits flow to low-income communities and communities of color.","Pursue a comprehensive energy poverty mitigation strategy by partnering with trusted community organizations, affordable housing developers, and schools in equitable outreach and program development. Programs should focus on energy burden reduction, improved air quality, neighborhood resilience during extreme weather, and increased passive survivability of buildings.",Strategy 1: Ensure benefits flow to low-income communities and communities of color,This is a named intervention with specific program focus areas. It is policy-relevant despite lacking a numeric target because it commits to a defined strategy.,Adaptation,False,direct,Resource Efficiency
Austin_US,individual,,"Enhance resident and building owner understanding of energy savings opportunities and climate impacts through outreach, benchmarking expansion, and better access to energy and water data.","Enhance resident and building owner understanding of energy savings opportunities, benefits, and climate impacts of energy consumption. This will be done through direct outreach, culturally relevant communications, expanding benchmarking requirements for all existing buildings, and better access to energy and water data.",Strategy 2: Enhance understanding of energy consumption,"This includes a specific intervention—expanding benchmarking requirements—and data access improvements, making it a concrete policy.",Resource Efficiency,False,indirect,Mitigation
Austin_US,individual,,"Achieve net-zero carbon buildings through new energy codes, amendments, incentives, electrification, and utility collaboration.","Achieve goal milestones for net-zero carbon buildings through new building energy codes, amendments, and other methods. Engage owners and operators of existing buildings to decarbonize through incentives and education for contractors and occupants.","Strategy 3: Achieve energy-efficient, net-zero carbon buildings","This is a concrete regulatory and programmatic commitment involving codes, incentives, and electrification.",Mitigation,False,direct,Resource Efficiency
Austin_US,individual,,Create equitable workforce development and training opportunities for emerging building decarbonization technologies.,"Prioritize investment in local emissions reduction and create equitable workforce development and training opportunities for emerging technologies by partnering with local unions, education, and advocacy organizations that serve low-income communities and communities of color. Increasing these opportunities can positively impact families, aid in relationship building, and support community capacity to drive decision-making in future projects and programs.",Strategy 4: Ensure equitable workforce development for emerging technologies,"This is a named intervention tied to emissions reduction technologies. Climate benefit is meaningful but mediated through workforce systems, so relevance is indirect.",Mitigation,False,indirect,
Austin_US,individual,,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.","By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",SUSTAINABLE BUILDINGS,"This is a quantified emissions reduction target with a deadline, clearly qualifying as a mitigation policy.",Mitigation,False,direct,
Austin_US,individual,,Develop a refrigerant destruction program that prices older high-ozone-depleting and high-GWP refrigerants to increase capture and safe destruction.,"Develop a refrigerant destruction program that places a price on older high ozone-depleting substances and global warming potential (GWP) refrigerants. The program could be run by the City or a contractor, increasing the capture of old refrigerants and safely destroying harmful gases.",Strategy 1: Capture and destroy old refrigerants,"This is a specific named program with a pricing mechanism, making it a concrete policy and a financial instrument.",Mitigation,True,direct,
Austin_US,individual,,Advance building code amendments and local action to allow and encourage low- and no-GWP refrigerants as soon as feasible.,"Closely follow developments in revised building codes that allow the use of low and no GWP refrigerants, such as California's state building code changes and U.S. Green Building Council ® policies, and move forward with code amendments and other local action as soon as feasible.",Strategy 2: Improve building codes to encourage cleaner refrigerants,This is a regulatory commitment centered on code amendments for cleaner refrigerants.,Mitigation,False,direct,
Austin_US,individual,,"Create incentives for refrigerant leak detection, prevention, and repair across commercial refrigeration and HVAC sectors.","Partner with grocery stores, convenience stores, restaurants, restaurant supply companies, refrigerated warehouses, and HVAC tune-up and repair companies to create an incentive for designing and tracking refrigerant leak detection, prevention, and repair. Regularly maintaining units and repairing leaks can help prevent leakage during disasters such as flooding and windstorms.",Strategy 3: Create incentives for leak detection and repair,"This is a specific incentive-based intervention. It also explicitly mentions disaster-related leakage prevention, supporting an adaptation secondary category.",Mitigation,True,direct,Adaptation
Austin_US,individual,,"Create an awareness, education, and training campaign on refrigerant management for HVAC providers, building operators, and inspectors.","Create an awareness, education, and training campaign for local HVAC service providers, building owners, operators, inspectors, and maintenance leads on the importance of refrigerant management and strategies for leak detection, prevention, and repair.",Strategy 4: Awareness and training for HVAC service providers,"This is a named intervention with a defined audience and subject matter, qualifying as a policy commitment.",Mitigation,False,direct,
Austin_US,individual,,"Reduce and prevent refrigerant use, especially high-GWP refrigerants, through design, code, and efficiency measures.","Emphasize the link between design and refrigerant use by reducing and preventing the use of refrigerants to the extent possible, particularly those with high GWP.",Strategy 5: Reduce the volume of refrigerants,This is a specific intervention focused on reducing refrigerant dependence. It is somewhat broad but still concrete enough to qualify.,Mitigation,False,direct,Resource Efficiency
Austin_US,individual,,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.","By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline*.

*The embodied carbon associated with the construction and materials must not exceed 500 kg CO2e/m 2 (~100 lbs. CO2e/sf) per project.",SUSTAINABLE BUILDINGS,"This is a quantified target with a baseline and performance threshold, clearly qualifying as a policy.",Mitigation,False,direct,
Austin_US,individual,,"Develop City design and construction specifications and purchasing agreements for healthy, low-carbon buildings.","In partnership with other cities and states, develop City of Austin design and construction specifications and purchasing agreements to result in healthy, low-carbon buildings.",Strategy 1: Lead by example through design and construction standards,This is a concrete standards and procurement commitment for City projects.,Mitigation,False,direct,
Austin_US,individual,,Integrate lower-carbon materials and deconstruction practices into City incentive programs and planning agreements over time.,"Enhance and integrate lower-carbon building materials and deconstruction practices into City incentive programs, like the expedited permitting process and Austin Energy's Green Building program, to transition voluntary design guidance into planning and development agreements over time.",Strategy 2: Incentivize lower-carbon materials,This is a specific incentive and planning intervention tied to embodied carbon reduction.,Mitigation,True,direct,
Austin_US,individual,,Create a performance framework and educational programming on low-impact building materials and construction practices.,"Create a performance framework and educational programming for industry professionals and the general public, focusing on low-income communities and communities of color, to reduce the lifecycle and negative health impacts of building materials and construction practices.",Strategy 3: Educate stakeholders on materials best practices,This is a named intervention with a defined mechanism and audience. It explicitly addresses lifecycle and health impacts.,Mitigation,False,indirect,
Austin_US,individual,,Prioritize partnerships with local materials markets to decarbonize high-impact construction materials.,"Prioritize partnerships within local materials markets to decarbonize high-impact materials, specifically glass, steel, aluminum, concrete, drywall, insulation, and carpet.",Strategy 4: Stimulate decarbonization with local producers installation,This is a specific intervention targeting named materials and local market partnerships.,Mitigation,False,direct,
Austin_US,individual,,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year through Water Forward strategies.","By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing strategies in the Water Forward Plan.",SUSTAINABLE BUILDINGS,This is a quantified water demand target with a deadline and implementation anchor in an approved plan.,Resource Efficiency,False,indirect,
Austin_US,individual,,"Enhance community engagement and partnerships to advance equitable participation in water efficiency technologies, incentives, and ordinances.","Enhance community engagement strategies and create partnerships with community organizations to advance equity through Water Forward strategies, including My ATX Water (Advanced Metering Infrastructure), incentives, and ordinances.","Strategy 1: Engage residents in water efficiency technological transitions, and conservation programs",This is a specific implementation strategy tied to water conservation programs and technologies.,Resource Efficiency,False,indirect,
Austin_US,individual,,Evaluate water conservation and customer assistance program criteria to remove structural barriers and expand participation among low-income customers.,Evaluate program criteria to identify opportunities to address structural barriers that prevent program participation. Collaborate with City departments and community organizations to explore strategies to expand enrollment in the Customer Assistance Program and increase participation in other programs serving low-income customers.,"Strategy 2: Evaluate water conservation, customer assistance, and workforce development program participation criteria","This is a concrete program reform commitment, though not quantified.",Resource Efficiency,False,indirect,
Austin_US,individual,,"Assess and pursue water-energy nexus measures that reduce water demand, energy use, and related emissions.",Assess how water demand reduction is associated with energy consumption in residential and commercial buildings and Austin Water facilities. Identify and pursue synergistic water conservation and energy management optimization efforts through programs and partnerships.,Strategy 3: Reduce emissions at the water-energy nexus,This is a specific analytical and implementation commitment explicitly linking water conservation to emissions reduction.,Resource Efficiency,False,indirect,Mitigation
Austin_US,individual,,"By 2030, locate 80% of new non-residential development within Imagine Austin activity centers and corridors.","By 2030, 80% of new non-residential development is located within the city's Imagine Austin activity centers and corridors.",TRANSPORTATION AND LAND USE,"This is a quantified land-use target with a deadline, clearly qualifying as a policy.",Mitigation,False,direct,
Austin_US,individual,,Adopt Complete Communities plans that reverse historical displacement impacts and preserve neighborhoods in communities of color.,"Adopt Complete Communities plans that reverse historical and racist impacts on areas experiencing displacement and preserve neighborhoods in communities of color. Some examples include neighborhood, village, corridor, and station area plans.",Strategy 1: Plan for complete communities,This is a planning commitment with a named intervention and examples of plan types.,Mitigation,False,indirect,
Austin_US,individual,,Work with medium and large employers to locate businesses in growth centers and corridors and include community amenities in development projects.,Work with medium and large employers to locate their places of business in growth centers and along corridors.,Strategy 2: Work with employers on location and amenities,"This is a specific land-use intervention, though somewhat broad in mechanism.",Mitigation,False,indirect,
Austin_US,individual,,Create community mobility hubs adjacent to transit stops with first- and last-mile options and accessible amenities.,"Create community mobility hubs, including park-and-ride facilities, adjacent to transit stops to offer a complete trip experience. These hubs should offer various first- and last-mile mobility options.",Strategy 3 : Create mobility hubs,This is a named infrastructure intervention with a defined purpose and location.,Resource Efficiency,False,indirect,Mitigation
Austin_US,individual,,"Phase out free employee parking at City facilities and large employers near transit and replace it with commuter benefits such as parking cash-out, transit passes, and telework support.","Phase out the practice of providing free parking spaces to employees at City of Austin facilities and other large employers located within 1/2 mile of the Austin Strategic Mobility Plan's transit priority network. Instead, offer a parking cash-out, carpool and vanpool options, flex schedules, transit passes, support for teleworking, or other commuter benefits programs.",Strategy 4: Phase out free parking,This is a concrete operational and incentive policy with a clear mechanism and geographic trigger.,Resource Efficiency,True,indirect,Mitigation
