role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
individual,,The City will reduce Chicago's greenhouse gas emissions by a minimum of 62% by 2040.,"The 2022 CAP aims to chart an equitable path to reduce Chicago's GHG emissions by a minimum of 62% by 2040. Following the principles defined in this plan, this pathway prioritizes improving the lives of all Chicagoans by promoting environmental justice, generating household savings, improving community health, transitioning away from fossil-fuel dependency, and ensuring that all Chicago communities are prepared for the undeniable impacts of climate change, by 2040.",GHG REDUCTION Chicago's TARGETS,"This is a quantified citywide climate target with a deadline, clearly qualifying as a policy commitment. It is directly climate-related and serves as the umbrella emissions goal for the plan.",Mitigation,False,direct,
parent,,"Pillar 1 commits Chicago to increase access to utility savings and renewable energy, prioritizing households, through building retrofits and community renewable energy access.","The five pillars support the high-level goals of the plan:

Pillars

1

2

3

4

5

Increase access to utility savings and renewable energy, prioritizing households

Build circular economies to create jobs and reduce waste

Deliver a robust zero-emission mobility network that connects communities and improves air quality

Drive equitable development of Chicago's clean-energy future

Strengthen communities and protect health",CLIMATE ACTION STRATEGIES,"This is an umbrella initiative with multiple sub-actions listed beneath it, so it qualifies as a parent policy.",Mitigation,False,direct,
sub,"Increase access to utility savings and renewable energy, prioritizing households","The City will retrofit residential buildings with 4 or fewer units by 20% by 2030 and 50% by 2040, prioritizing low- or moderate-income households.","A. Retrofit residential buildings with 4 or fewer units:20% by 2030 and 50%by2040, prioritizing low- or moder- ate-income households

Smaller residential buildings, including the city's nearly 400,000 single-family homes and small multifamily properties, generated 14% of the city's total carbon emissions in 2017. These households can benefit from the same types of retrofits that apply to larger residential buildings.","Pillar 1 | Increase access to utility savings and renewable energy, prioritizing households",This is a quantified retrofit commitment with deadlines and a priority population. It is a specific action under Pillar 1.,Mitigation,False,direct,Resource Efficiency
sub,"Increase access to utility savings and renewable energy, prioritizing households",The City will retrofit 20% of total 5+ unit residential buildings by 2030.,"B

GHG Impacts

◆◆◇

City Partners

CHA, DOB, DOH, DPD

## Retrofit 20% of total 5+ unit residential buildings by 2030

This action will bring improved efficiency and living conditions to nearly 140,000 units in large multifamily buildings.","Pillar 1 | Increase access to utility savings and renewable energy, prioritizing households",This is a quantified building retrofit target with a deadline. It is a concrete mitigation action through efficiency improvements.,Mitigation,False,direct,Resource Efficiency
sub,"Increase access to utility savings and renewable energy, prioritizing households",The City will retrofit 20% of total industrial buildings by 2030.,"C

GHG Impacts

◆◆◇

City Partners

BACP, DOB, DPD

## Retrofit 20% of total industrial buildings by 2030

Industrial buildings use large amounts of energy for manufacturing and other processes, comprising 16.6% of the City's 2017 carbon footprint.","Pillar 1 | Increase access to utility savings and renewable energy, prioritizing households",This is a quantified retrofit target for industrial buildings. It is a direct climate mitigation measure.,Mitigation,False,direct,Resource Efficiency
sub,"Increase access to utility savings and renewable energy, prioritizing households",The City will retrofit 90% of total city-owned and sister agency-owned buildings by 2035.,"D

GHG Impacts

◆◆◇

## City Partners

AIS, CCC, CDA, CDOT, Chicago Park District, CPS, CTA, DOB, DPD, DWM, PBC

## Retrofit 90% of total city-owned and sister agency-owned buildings by 2035

City and sister agency buildings include public schools, community centers, libraries, fire and police stations, offices, and other buildings that serve the public.","Pillar 1 | Increase access to utility savings and renewable energy, prioritizing households",This is a quantified retrofit mandate for public buildings with a deadline. It is a concrete operational climate policy.,Mitigation,False,direct,Resource Efficiency
sub,"Increase access to utility savings and renewable energy, prioritizing households",The City will retrofit 20% of total commercial buildings by 2035.,"E

GHG Impacts

◆◆◆

City Partners

DOB, DPD

## Retrofit 20% of total commercial buildings by 2035

Commercial buildings include offices, restaurants, and stores.","Pillar 1 | Increase access to utility savings and renewable energy, prioritizing households",This is a quantified retrofit target for commercial buildings with a deadline. It is a direct mitigation action.,Mitigation,False,direct,Resource Efficiency
sub,"Increase access to utility savings and renewable energy, prioritizing households",The City will install 5 megawatts of co-owned community solar projects by 2025.,"A

## Install 5 megawatts of co-owned community solar projects by 2025

By 2025, 5 megawatts of co-owned community solar projects will be installed within city limits, prioritizing households with the highest energy burden.","Pillar 1 | Increase access to utility savings and renewable energy, prioritizing households","This is a quantified renewable energy deployment commitment with a deadline. It is a direct mitigation policy and also a financial/public investment line in the plan context, but the action itself is operational rather than a standalone funding instrument.",Mitigation,False,direct,
sub,"Increase access to utility savings and renewable energy, prioritizing households",The City will increase Chicago-based community renewables to 20 megawatts by 2025.,"B

GHG Impacts

◆◆◇

City Partners

BACP, DFSS, DPD

## Increase Chicago-based community renewables to 20 megawatts by 2025

By 2025, the City will increase Chicago-based community renewables to 20 megawatts.","Pillar 1 | Increase access to utility savings and renewable energy, prioritizing households",This is a quantified renewable energy target with a deadline. It is a direct mitigation action.,Mitigation,False,direct,
sub,"Increase access to utility savings and renewable energy, prioritizing households",The City will increase community renewables subscriptions to achieve a 25% subscription rate by low-income and/or environmental justice low-income residents by 2030.,"C

GHG Impacts

◆◆◇

City Partners

BACP, DFSS, DPD

## Increase community renewables subscriptions to achieve 25% subscribed by low-income and/ or environmental justice low-income residents by 2030

By 2030, the City will increase community renewable subscriptions to achieve a 25% subscription rate by low-income and/or environmental justice low-income residents.","Pillar 1 | Increase access to utility savings and renewable energy, prioritizing households",This is a quantified access target for renewable energy subscriptions with a deadline and priority population. It is a direct climate policy.,Mitigation,False,direct,
