location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,is_financial_instrument,climate_relevance,secondary_category
Austin_US,parent,,Strategy 1: Green jobs and entrepreneurship,"Create green jobs and entrepreneurship opportunities that advance the goals of this plan, expand economic opportunity and inclusion, and build agency and decision-making power in low-income communities and communities of color. Ensure an adequately educated workforce to install and maintain new and existing green technologies and solutions through a skill-up training program specifically focused on lowincome communities and communities of color. This may include green infrastructure, solar installation, renewable natural gas and hydrogen processing, water reuse or innovative mechanical systems, EV charging station installation, design and repair to reduce waste, urban agriculture, beautification, placemaking, etc.",## Strategy 1: Green jobs and entrepreneurship,Named strategy/initiative in the plan; qualifies as a policy umbrella because it commits the City/community to a defined intervention area and is paired with implementation actions in many cases.,Mitigation,False,peripheral,
Austin_US,sub,Strategy 1: Green jobs and entrepreneurship,"Ensure an adequately educated workforce to install and maintain new and existing green technologies and solutions through a skill-up training program specifically focused on lowincome communities and communities of color. This may include green infrastructure, solar installation, renewable natural gas and hydrogen processing, water reuse or innovative mechanical systems, EV charging station installation, design and repair to reduce waste, urban agriculture, beautification, placemaking, etc.","Ensure an adequately educated workforce to install and maintain new and existing green technologies and solutions through a skill-up training program specifically focused on lowincome communities and communities of color. This may include green infrastructure, solar installation, renewable natural gas and hydrogen processing, water reuse or innovative mechanical systems, EV charging station installation, design and repair to reduce waste, urban agriculture, beautification, placemaking, etc.",## Strategy 1: Green jobs and entrepreneurship,Specific action item listed under a named Strategy ('How we'll get there').,Nature-Based Solutions,False,indirect,
Austin_US,sub,Strategy 1: Green jobs and entrepreneurship,Ensure permanent career pathways that pay a living wage rather than temporary jobs. Include considerations for people who were formerly incarcerated and childcare services to ensure accessibility for working parents.,Ensure permanent career pathways that pay a living wage rather than temporary jobs. Include considerations for people who were formerly incarcerated and childcare services to ensure accessibility for working parents.,## Strategy 1: Green jobs and entrepreneurship,Specific action item listed under a named Strategy ('How we'll get there').,Mitigation,False,peripheral,
Austin_US,sub,Strategy 1: Green jobs and entrepreneurship,Develop new workforce skills and job readiness to provide a ladder of opportunities and entry into a skilled workforce pipeline.,Develop new workforce skills and job readiness to provide a ladder of opportunities and entry into a skilled workforce pipeline. Recruit from local communities of color to ensure diverse and equitable participation in all levels of green jobs sectors. Invest in local green businesses and target financial support for small businesses owned by people of color.,## Strategy 1: Green jobs and entrepreneurship,Specific action item listed under a named Strategy ('How we'll get there').,Mitigation,False,peripheral,
Austin_US,sub,Strategy 1: Green jobs and entrepreneurship,Recruit from local communities of color to ensure diverse and equitable participation in all levels of green jobs sectors.,Recruit from local communities of color to ensure diverse and equitable participation in all levels of green jobs sectors. Invest in local green businesses and target financial support for small businesses owned by people of color. Develop initiatives and programs to support and grow a network of entrepreneurs and executives of color.,## Strategy 1: Green jobs and entrepreneurship,Specific action item listed under a named Strategy ('How we'll get there').,Mitigation,False,peripheral,
Austin_US,sub,Strategy 1: Green jobs and entrepreneurship,Invest in local green businesses and target financial support for small businesses owned by people of color.,Invest in local green businesses and target financial support for small businesses owned by people of color. Develop initiatives and programs to support and grow a network of entrepreneurs and executives of color. Build upon the recent Austin Civilian Conservation Corps initiative to foster partnerships with nonprofit organizations to recruit and train economically disadvantaged community members.,## Strategy 1: Green jobs and entrepreneurship,Specific action item listed under a named Strategy ('How we'll get there').,Mitigation,True,peripheral,
Austin_US,sub,Strategy 1: Green jobs and entrepreneurship,Develop initiatives and programs to support and grow a network of entrepreneurs and executives of color.,Develop initiatives and programs to support and grow a network of entrepreneurs and executives of color. Build upon the recent Austin Civilian Conservation Corps initiative to foster partnerships with nonprofit organizations to recruit and train economically disadvantaged community members.,## Strategy 1: Green jobs and entrepreneurship,Specific action item listed under a named Strategy ('How we'll get there').,Mitigation,False,peripheral,
Austin_US,sub,Strategy 1: Green jobs and entrepreneurship,Build upon the recent Austin Civilian Conservation Corps initiative to foster partnerships with nonprofit organizations to recruit and train economically disadvantaged community members.,"lation, renewable natural gas and hydrogen processing, water reuse or innovative mechanical systems, EV charging station installation, design and repair to reduce waste, urban agriculture, beautification, placemaking, etc. - Ensure permanent career pathways that pay a living wage rather than temporary jobs. Include considerations for people who were formerly incarcerated and childcare services to ensure accessibility for working parents.",## Strategy 1: Green jobs and entrepreneurship,Specific action item listed under a named Strategy ('How we'll get there').,Resource Efficiency,False,indirect,
Austin_US,individual,,Strategy 2: Prioritize local community initiatives,"Recognize and support existing community-led organizations, businesses, and programs that can help achieve the goals in this plan while building a green and just economy and culture. Lift up these initiatives as models and support new efforts that prioritize local investment, design out waste and pollution, promote the local exchange of ideas, goods, and services, and restore our people, land, water, and air to full health.",## Strategy 2: Prioritize local community initiatives,Named strategy/initiative in the plan; qualifies as a policy umbrella because it commits the City/community to a defined intervention area and is paired with implementation actions in many cases.,Mitigation,False,peripheral,
Austin_US,individual,,Strategy 3: Regional collaboration,"Create a Texas Climate Collaborative linking elected officials, City staff, and utility staff working to implement recently adopted climate plans in San Antonio, Houston, Dallas, and Austin. Work with cities across the state and neighboring cities, such as Round Rock, Cedar Park, Buda, Pflugerville, San Marcos, and Kyle, and the five-county governments: Travis, Williamson, Hays, Bastrop, and Caldwell. The group should focus on lessons learned from specific implementation and big picture issues like aggregating demand for new technology and statewide policy changes.",## Strategy 3: Regional collaboration,Named strategy/initiative in the plan; qualifies as a policy umbrella because it commits the City/community to a defined intervention area and is paired with implementation actions in many cases.,Mitigation,False,direct,
